날짜,나이키덩크로우골든로드,나이키덩크로우라이트본,나이키덩크로우바시티그린,나이키덩크로우범고래,나이키덩크로우유니버시티블루,나이키덩크로우코스트,나이키덩크하이네이비,나이키덩크하이범고래,나이키덩크하이오렌지,조던1하이다크모카,조던1하이스모크그레이,조던1하이하이퍼로얄,조던1미드그레이포크,조던1미드스모크그레이,조던1미드울프그레이,조던1미드짐레드,조던1로우스타피쉬,조던1로우울프그레이,조던1로우트레비스스캇,뉴발란스992그레이,뉴발란스992네이비,뉴발란스992블랙그레이,뉴발란스992화이트실버,뉴발란스993네이비,뉴발란스993그레이,뉴발란스993블랙
2020-11-13,,,,,,,,,,61.0,6.0,,,66.0,,,,,,40,6.0,1.0,2.0,12.0,20,16.0
2020-11-14,,,,,,,,,,6.0,,,,11.0,,,,,,40,9.0,,,7.0,15,9.0
2020-11-15,,,,,,,,,,13.0,,,,15.0,,,,,,66,1.0,,,9.0,25,20.0
2020-11-16,,,,,,,,,,32.0,,,,33.0,,,,,,47,2.0,2.0,,10.0,28,22.0
2020-11-17,,,,,,,,,,,6.0,,,9.0,,,,,,65,12.0,,,6.0,24,11.0
2020-11-18,,,,,,,,,,10.0,,,,4.0,,,,,,45,7.0,2.0,2.0,10.0,23,5.0
2020-11-19,,,,,,,,,,6.0,23.0,,,47.0,,,,,,52,9.0,,1.0,8.0,27,13.0
2020-11-20,,,,,,,1.0,,,35.0,19.0,,,18.0,,,,,,54,18.0,1.0,,5.0,20,22.0
2020-11-21,,,,,,,,,,,16.0,,,43.0,,,,,,41,6.0,2.0,1.0,6.0,23,18.0
2020-11-22,,,,,,,,,,3.0,,,,32.0,,,,,,64,8.0,,5.0,11.0,28,20.0
2020-11-23,,,,,,,,,,16.0,10.0,,,25.0,,,,,,43,5.0,,,4.0,21,10.0
2020-11-24,,,,,,,,,,29.0,3.0,,,27.0,,,,,,56,7.0,,,5.0,35,10.0
2020-11-25,,,,,,,,,,58.0,6.0,,,33.0,,3.0,,,,63,8.0,1.0,1.0,8.0,38,20.0
2020-11-26,,,,,,,,,,,10.0,,,23.0,,,,,,77,3.0,,1.0,12.0,23,13.0
2020-11-27,,,,,,,,,,,3.0,,,59.0,,,,,,69,6.0,1.0,2.0,4.0,27,15.0
2020-11-28,,,,,,,,,,,,,,23.0,,,,,,49,15.0,1.0,,3.0,32,13.0
2020-11-29,,,,,,,,,,3.0,,,,18.0,,1.0,,,,87,9.0,1.0,2.0,8.0,23,16.0
2020-11-30,,,,,,,,,,,,,,33.0,,,,,,71,11.0,,,11.0,26,18.0
2020-12-01,,,,,,,,,,,3.0,,,6.0,,,,,2.0,82,13.0,3.0,2.0,14.0,41,15.0
2020-12-02,,,,,,,,,,,6.0,,,19.0,,,,,,68,19.0,3.0,1.0,7.0,38,21.0
2020-12-03,,,,,,,,,,,,,,65.0,,,,,,64,13.0,,3.0,5.0,25,14.0
2020-12-04,,,,,,,,,,,10.0,,,24.0,,,,,,62,10.0,,1.0,4.0,30,15.0
2020-12-05,,,,,,,,,,,6.0,,,13.0,,,,,,46,15.0,,1.0,9.0,29,13.0
2020-12-06,,,,,,,,,,3.0,6.0,,,30.0,,,,,,43,5.0,,,9.0,40,15.0
2020-12-07,,,,,,,,,,13.0,,,,14.0,,4.0,,,,66,5.0,,5.0,4.0,36,16.0
2020-12-08,,,,,,,,,,,19.0,,,28.0,,9.0,,,,60,7.0,,3.0,9.0,34,15.0
2020-12-09,,,,,,,,,,3.0,26.0,,,62.0,,,,,,45,5.0,,,11.0,41,16.0
2020-12-10,,,,,,,,,,,13.0,,,58.0,,,,,,37,7.0,,1.0,6.0,50,25.0
2020-12-11,,,,,,,,,,16.0,,,,54.0,,,,,,34,8.0,,2.0,17.0,34,24.0
2020-12-12,,,,,,,,,,19.0,3.0,,,49.0,,,,,,45,7.0,,2.0,4.0,58,22.0
2020-12-13,,,,,,,,,,3.0,3.0,,,24.0,,,,,,39,3.0,,,14.0,59,27.0
2020-12-14,,,,,,,,,,,,,,32.0,,,,,,46,10.0,,2.0,4.0,54,23.0
2020-12-15,,,,,,,,,,10.0,3.0,,,23.0,,,,,,40,8.0,,1.0,6.0,35,37.0
2020-12-16,,,,,,,,,,,10.0,,,38.0,,,,,,40,12.0,,,6.0,42,12.0
2020-12-17,,,,,,,,,,,3.0,,,15.0,,,,,,43,8.0,,2.0,10.0,32,19.0
2020-12-18,,,,,,,,,,6.0,16.0,,,44.0,,,,,,30,3.0,1.0,,5.0,31,18.0
2020-12-19,,,,,,,,,,,3.0,,,13.0,,,,,,32,2.0,,1.0,3.0,27,18.0
2020-12-20,,,,,,,,,,19.0,10.0,,,19.0,,,,,,53,3.0,,1.0,5.0,40,28.0
2020-12-21,,,,,,,,,,6.0,10.0,,,16.0,,,,,,43,5.0,1.0,1.0,10.0,39,24.0
2020-12-22,,,,,,,1.0,,,,6.0,,,13.0,,,,,,44,6.0,2.0,,11.0,29,20.0
2020-12-23,,,,,,,,,,3.0,6.0,,,49.0,,,,,,58,5.0,1.0,1.0,10.0,27,25.0
2020-12-24,,,,,,,,,,3.0,,,,29.0,,,,,,46,9.0,5.0,,11.0,27,21.0
2020-12-25,,,,,,,,,,6.0,,,,32.0,,,,,,47,5.0,,,9.0,22,16.0
2020-12-26,,,,,,,,,,,13.0,,,19.0,,,,,,52,7.0,,1.0,11.0,37,26.0
2020-12-27,,,,,,,,,,,16.0,,,24.0,,,,,,59,5.0,4.0,,14.0,42,29.0
2020-12-28,,,,,,2.0,,,,,,,,49.0,,,,,,55,3.0,,1.0,8.0,40,27.0
2020-12-29,,,,,,,,,,13.0,42.0,,,20.0,,,,,,41,8.0,,2.0,13.0,33,18.0
2020-12-30,,,,,,,,,,10.0,39.0,,,34.0,,,,,,38,7.0,,,11.0,32,18.0
2020-12-31,,,,,,,,,,3.0,10.0,,,24.0,,,,,,34,7.0,,1.0,8.0,20,21.0
2021-01-01,,,,,,1.0,,,,6.0,13.0,,,28.0,,,,,,43,15.0,,3.0,12.0,34,20.0
2021-01-02,,,,,,9.0,,,,10.0,3.0,,,47.0,,,,,,55,9.0,1.0,2.0,19.0,43,32.0
2021-01-03,,,,,,3.0,,,,3.0,,,,56.0,,,,,3.0,48,9.0,,1.0,15.0,42,23.0
2021-01-04,,,,1.0,,10.0,,1.0,,16.0,26.0,,,44.0,,1.0,,,,68,5.0,,4.0,3.0,40,19.0
2021-01-05,,,,1.0,,15.0,,1.0,,13.0,3.0,,,42.0,,,,,,59,4.0,,2.0,13.0,49,18.0
2021-01-06,,,,1.0,,12.0,,1.0,,,,,,35.0,,,,,,54,10.0,,,12.0,49,27.0
2021-01-07,,,,2.0,,31.0,,,,3.0,,,,13.0,,1.0,,,,51,7.0,,,9.0,40,27.0
2021-01-08,,,,3.0,,17.0,,1.0,,13.0,13.0,,,42.0,,,,,,35,10.0,,,5.0,40,28.0
2021-01-09,,,,3.0,,13.0,,3.0,,,3.0,,,49.0,,,,,,37,7.0,,,10.0,58,23.0
2021-01-10,,,,3.0,,28.0,,4.0,,6.0,,,,61.0,,3.0,,,,54,8.0,,2.0,22.0,81,24.0
2021-01-11,,,,3.0,,10.0,,2.0,,,3.0,,,78.0,,,,,,54,7.0,,1.0,12.0,70,31.0
2021-01-12,,,,3.0,,29.0,,3.0,,,,,,52.0,,,,,2.0,34,6.0,,1.0,23.0,67,23.0
2021-01-13,,,,3.0,,15.0,,3.0,,,6.0,,,22.0,,,,,,40,5.0,,,24.0,46,21.0
2021-01-14,,,,4.0,,22.0,,2.0,,19.0,3.0,,,24.0,,,,,,38,5.0,,2.0,10.0,56,15.0
2021-01-15,,,,5.0,,26.0,,3.0,,10.0,3.0,,,49.0,,1.0,,,,38,7.0,,5.0,13.0,61,18.0
2021-01-16,,,,6.0,,24.0,,5.0,,,6.0,,,73.0,,,,,,49,13.0,,1.0,18.0,53,12.0
2021-01-17,,,,6.0,,40.0,,6.0,,3.0,10.0,,,58.0,,,,,,52,6.0,,,13.0,63,21.0
2021-01-18,,,,5.0,,37.0,,1.0,,,16.0,,,70.0,,,,,,48,5.0,,3.0,12.0,51,24.0
2021-01-19,,,,6.0,,14.0,,4.0,,19.0,10.0,,,25.0,,,,,11.0,20,5.0,,,5.0,53,20.0
2021-01-20,,,,6.0,,31.0,,5.0,,3.0,13.0,,,38.0,,,,,,49,4.0,,,7.0,70,25.0
2021-01-21,,,,6.0,,27.0,,5.0,,10.0,,,,33.0,,,,,,31,8.0,,1.0,8.0,62,13.0
2021-01-22,,,,7.0,,41.0,,5.0,,19.0,6.0,,,27.0,,3.0,,,,33,4.0,,,14.0,36,25.0
2021-01-23,,,,6.0,,35.0,,8.0,,,6.0,,,44.0,,,,,,30,6.0,,,17.0,45,20.0
2021-01-24,,,,7.0,,39.0,,9.0,,26.0,6.0,,,44.0,,1.0,,,,41,7.0,,,11.0,52,19.0
2021-01-25,,,,7.0,,84.0,,14.0,,35.0,,,,13.0,,,,,,27,5.0,,6.0,13.0,55,24.0
2021-01-26,,,,7.0,,47.0,,6.0,,,3.0,,,66.0,,,,,,31,5.0,,2.0,12.0,40,22.0
