날짜,조던1로우스타피쉬,조던1로우울프그레이,조던1로우트레비스스캇
2020-12-01,,,2.0
2021-01-03,,,3.0
2021-01-12,,,2.0
2021-01-19,,,11.0
2021-02-20,,,3.0
2021-03-08,,,2.0
2021-03-13,,,2.0
2021-03-14,,,3.0
2021-03-19,,,5.0
2021-05-07,,,3.0
2021-05-17,,,3.0
2021-06-03,,,3.0
2021-06-06,,,2.0
2021-06-08,,,2.0
2021-06-18,,33.0,
2021-06-19,,26.0,
2021-06-20,,11.0,
2021-06-21,,6.0,
2021-06-22,,24.0,
2021-06-24,,11.0,
2021-06-25,,47.0,
2021-06-26,,8.0,
2021-06-27,,36.0,
2021-06-28,,35.0,
2021-06-29,,11.0,
2021-06-30,,15.0,
2021-07-01,,9.0,
2021-07-02,,23.0,
2021-07-03,,23.0,
2021-07-04,,14.0,
2021-07-05,,36.0,
2021-07-06,,21.0,
2021-07-07,,11.0,
2021-07-08,,53.0,
2021-07-09,,26.0,
2021-07-10,,12.0,
2021-07-11,,18.0,
2021-07-12,,17.0,
2021-07-13,,38.0,
2021-07-14,,64.0,
2021-07-15,,52.0,
2021-07-16,,24.0,
2021-07-17,,89.0,
2021-07-18,,48.0,
2021-07-19,,24.0,
2021-07-20,,38.0,
2021-07-21,,32.0,
2021-07-22,,27.0,
2021-07-23,,20.0,
2021-07-24,,26.0,
2021-07-25,,50.0,
2021-07-26,,27.0,
2021-07-27,,20.0,
2021-07-28,,33.0,
2021-07-29,,14.0,
2021-07-30,,6.0,
2021-07-31,,52.0,
2021-08-01,,17.0,
2021-08-02,,44.0,
2021-08-03,,39.0,2.0
2021-08-04,,17.0,2.0
2021-08-05,,50.0,
2021-08-06,,41.0,3.0
2021-08-07,,26.0,
2021-08-08,,45.0,2.0
2021-08-09,,32.0,
2021-08-10,,30.0,
2021-08-11,,20.0,
2021-08-12,,53.0,
2021-08-13,,27.0,21.0
2021-08-14,,65.0,
2021-08-15,,61.0,
2021-08-16,,68.0,
2021-08-17,,42.0,
2021-08-18,,56.0,
2021-08-19,2.0,33.0,
2021-08-20,2.0,14.0,
2021-08-21,2.0,44.0,
2021-08-22,3.0,30.0,
2021-08-23,3.0,68.0,
2021-08-24,9.0,15.0,
2021-08-25,11.0,9.0,
2021-08-26,12.0,11.0,
2021-08-27,6.0,11.0,
2021-08-28,5.0,23.0,
2021-08-29,,35.0,
2021-08-30,20.0,27.0,
2021-08-31,2.0,61.0,3.0
2021-09-01,8.0,15.0,
2021-09-02,5.0,30.0,
2021-09-03,6.0,30.0,
2021-09-04,9.0,41.0,
2021-09-05,2.0,39.0,
2021-09-06,3.0,73.0,
2021-09-07,6.0,18.0,
2021-09-08,8.0,59.0,
2021-09-09,17.0,18.0,
2021-09-10,3.0,39.0,
2021-09-11,,26.0,
2021-09-12,9.0,12.0,
2021-09-13,2.0,18.0,
2021-09-14,8.0,100.0,
2021-09-15,3.0,76.0,
2021-09-16,,56.0,
2021-09-17,5.0,53.0,
2021-09-18,2.0,65.0,
2021-09-19,3.0,74.0,5.0
2021-09-20,5.0,41.0,
2021-09-21,3.0,65.0,
2021-09-22,2.0,85.0,
2021-09-23,,55.0,
2021-09-24,5.0,33.0,
2021-09-25,,30.0,
2021-09-26,5.0,8.0,
2021-09-27,8.0,56.0,
2021-09-28,3.0,9.0,
2021-09-29,,9.0,
2021-09-30,8.0,14.0,
2021-10-01,2.0,76.0,
2021-10-02,6.0,29.0,
2021-10-03,5.0,20.0,
2021-10-04,9.0,47.0,
2021-10-05,3.0,21.0,
2021-10-06,6.0,56.0,
2021-10-07,61.0,56.0,
2021-10-08,18.0,24.0,
2021-10-09,18.0,36.0,
2021-10-10,5.0,12.0,
2021-10-11,9.0,30.0,
2021-10-12,3.0,33.0,2.0
2021-10-13,8.0,59.0,
2021-10-14,,70.0,
2021-10-15,11.0,45.0,
2021-10-16,,74.0,
2021-10-17,,41.0,
2021-10-18,,17.0,
2021-10-19,,8.0,
2021-10-20,8.0,8.0,
2021-10-21,2.0,18.0,
2021-10-22,5.0,,
2021-10-23,,14.0,
2021-10-24,3.0,5.0,
2021-10-25,8.0,9.0,
2021-10-26,33.0,27.0,
2021-10-27,9.0,24.0,
2021-10-28,11.0,33.0,
2021-10-29,3.0,38.0,
2021-10-30,18.0,27.0,
2021-10-31,17.0,17.0,
2021-11-01,,14.0,
2021-11-02,2.0,9.0,
2021-11-03,5.0,5.0,
2021-11-04,5.0,27.0,
2021-11-05,,9.0,
2021-11-06,5.0,5.0,
2021-11-07,,5.0,
2021-11-08,,8.0,
2021-11-09,11.0,39.0,
2021-11-10,,21.0,
2021-11-11,,21.0,
2021-11-12,2.0,6.0,
2021-11-13,5.0,15.0,
