날짜,뉴발란스992그레이,뉴발란스992네이비,뉴발란스992블랙그레이,뉴발란스992화이트실버
2020-11-13,40,6.0,1.0,2.0
2020-11-14,40,9.0,,
2020-11-15,66,1.0,,
2020-11-16,47,2.0,2.0,
2020-11-17,65,12.0,,
2020-11-18,45,7.0,2.0,2.0
2020-11-19,52,9.0,,1.0
2020-11-20,54,18.0,1.0,
2020-11-21,41,6.0,2.0,1.0
2020-11-22,64,8.0,,5.0
2020-11-23,43,5.0,,
2020-11-24,56,7.0,,
2020-11-25,63,8.0,1.0,1.0
2020-11-26,77,3.0,,1.0
2020-11-27,69,6.0,1.0,2.0
2020-11-28,49,15.0,1.0,
2020-11-29,87,9.0,1.0,2.0
2020-11-30,71,11.0,,
2020-12-01,82,13.0,3.0,2.0
2020-12-02,68,19.0,3.0,1.0
2020-12-03,64,13.0,,3.0
2020-12-04,62,10.0,,1.0
2020-12-05,46,15.0,,1.0
2020-12-06,43,5.0,,
2020-12-07,66,5.0,,5.0
2020-12-08,60,7.0,,3.0
2020-12-09,45,5.0,,
2020-12-10,37,7.0,,1.0
2020-12-11,34,8.0,,2.0
2020-12-12,45,7.0,,2.0
2020-12-13,39,3.0,,
2020-12-14,46,10.0,,2.0
2020-12-15,40,8.0,,1.0
2020-12-16,40,12.0,,
2020-12-17,43,8.0,,2.0
2020-12-18,30,3.0,1.0,
2020-12-19,32,2.0,,1.0
2020-12-20,53,3.0,,1.0
2020-12-21,43,5.0,1.0,1.0
2020-12-22,44,6.0,2.0,
2020-12-23,58,5.0,1.0,1.0
2020-12-24,46,9.0,5.0,
2020-12-25,47,5.0,,
2020-12-26,52,7.0,,1.0
2020-12-27,59,5.0,4.0,
2020-12-28,55,3.0,,1.0
2020-12-29,41,8.0,,2.0
2020-12-30,38,7.0,,
2020-12-31,34,7.0,,1.0
2021-01-01,43,15.0,,3.0
2021-01-02,55,9.0,1.0,2.0
2021-01-03,48,9.0,,1.0
2021-01-04,68,5.0,,4.0
2021-01-05,59,4.0,,2.0
2021-01-06,54,10.0,,
2021-01-07,51,7.0,,
2021-01-08,35,10.0,,
2021-01-09,37,7.0,,
2021-01-10,54,8.0,,2.0
2021-01-11,54,7.0,,1.0
2021-01-12,34,6.0,,1.0
2021-01-13,40,5.0,,
2021-01-14,38,5.0,,2.0
2021-01-15,38,7.0,,5.0
2021-01-16,49,13.0,,1.0
2021-01-17,52,6.0,,
2021-01-18,48,5.0,,3.0
2021-01-19,20,5.0,,
2021-01-20,49,4.0,,
2021-01-21,31,8.0,,1.0
2021-01-22,33,4.0,,
2021-01-23,30,6.0,,
2021-01-24,41,7.0,,
2021-01-25,27,5.0,,6.0
2021-01-26,31,5.0,,2.0
2021-01-27,39,9.0,,2.0
2021-01-28,60,8.0,1.0,2.0
2021-01-29,61,5.0,,1.0
2021-01-30,42,7.0,,4.0
2021-01-31,40,7.0,,3.0
2021-02-01,46,7.0,,1.0
2021-02-02,37,4.0,,
2021-02-03,55,6.0,,
2021-02-04,59,10.0,,11.0
2021-02-05,34,8.0,,
2021-02-06,41,6.0,,1.0
2021-02-07,57,7.0,,1.0
2021-02-08,42,6.0,,
2021-02-09,49,3.0,,2.0
2021-02-10,59,4.0,,3.0
2021-02-11,51,1.0,,
2021-02-12,70,10.0,,3.0
2021-02-13,67,8.0,,
2021-02-14,100,8.0,,1.0
2021-02-15,63,5.0,,
2021-02-16,49,5.0,,2.0
2021-02-17,74,3.0,,
2021-02-18,54,4.0,,2.0
2021-02-19,61,6.0,,
2021-02-20,51,10.0,,
2021-02-21,93,8.0,,1.0
2021-02-22,54,3.0,,1.0
2021-02-23,49,11.0,,
2021-02-24,39,4.0,,
2021-02-25,45,7.0,,
2021-02-26,43,4.0,,
2021-02-27,60,8.0,,
2021-02-28,55,9.0,,
2021-03-01,64,7.0,,
2021-03-02,46,5.0,,
2021-03-03,59,3.0,,
2021-03-04,48,5.0,,
2021-03-05,34,8.0,,
2021-03-06,41,4.0,,1.0
2021-03-07,42,4.0,,2.0
2021-03-08,34,10.0,,1.0
2021-03-09,56,12.0,,
2021-03-10,63,11.0,,1.0
2021-03-11,38,10.0,,1.0
2021-03-12,31,7.0,,
2021-03-13,24,12.0,,4.0
2021-03-14,42,7.0,,
2021-03-15,22,9.0,1.0,
2021-03-16,23,3.0,,13.0
