날짜,조던1 하이 다크모카,조던1 하이 스모크그레이,조던1 하이 하이퍼로얄,조던1 미드 그레이포크,조던1 미드 스모크그레이,조던1 미드 울프그레이,조던1 미드 짐레드,조던1 로우 스타피쉬,조던1 로우 울프그레이,조던1 로우 트레비스 스캇,나이키 덩크하이 네이비,나이키 덩크하이 범고래,나이키 덩크하이 오렌지,나이키 덩크 로우 골든로드 ,나이키 덩크 로우 라이트본,나이키 덩크 로우 바시티그린,나이키 덩크 로우 범고래,나이키 덩크 로우 유니버시티블루,나이키 덩크로우 코스트,뉴발란스 992 그레이,뉴발란스 992 네이비,뉴발란스 992 블랙그레이,뉴발란스 992 화이트실버,뉴발란스 993 그레이,뉴발란스 993 네이비,뉴발란스 993 블랙
2020-11-01,0.0,7.14285,0.0,0,3.46938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.47217,4.531,0.0,0.71542,31.99268,7.49542,14.99085
2020-11-02,0.0,9.5238,0.0,0,3.57142,0.0,0.61224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.37996,3.5771,0.0,0.63593,23.76599,7.12979,13.34552
2020-11-03,0.0,5.95238,0.0,0,2.85714,0.0,0.91836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.77742,3.17965,0.0,0.47694,30.53016,8.04387,24.49725
2020-11-04,8.33333,7.14285,0.0,0,3.67346,0.0,0.5102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.48012,4.21303,0.0,0.39745,34.18647,7.67824,20.47531
2020-11-05,0.0,0.0,0.0,0,2.95918,0.0,0.5102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02591,0.0,0.0,11.44674,2.22575,0.0,0.55643,36.9287,6.76416,18.46435
2020-11-06,0.0,0.0,0.0,0,4.18367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02159,0.0,0.0,13.593,3.97456,0.0,1.11287,39.12248,6.76416,19.92687
2020-11-07,0.0,5.95238,0.0,0,3.06122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.84419,4.45151,0.0,0.0,33.45521,4.57038,18.28153
2020-11-08,5.95238,9.5238,0.0,0,2.7551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.26232,7.31319,0.0,0.0,37.47714,10.7861,37.11151
2020-11-09,5.95238,5.95238,0.0,0,3.87755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.19554,7.2337,0.0,0.55643,37.47714,10.96892,31.80987
2020-11-10,7.14285,0.0,0.0,0,3.77551,0.0,0.5102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.99046,7.47217,0.0,0.39745,41.13345,13.1627,34.73491
2020-11-11,21.42857,0.0,0.0,0,4.48979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.19554,10.96979,0.0,0.0,39.3053,16.81901,25.0457
2020-11-12,19.04761,0.0,0.0,0,4.18367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.58028,6.99523,0.0,0.63593,38.57404,14.44241,19.19561
2020-11-13,100.0,0.0,0.0,0,5.71428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2496,8.26709,0.0,0.0,31.99268,15.72212,19.74405
2020-11-14,17.85714,0.0,0.0,0,4.48979,0.0,0.5102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.72655,8.58505,0.0,0.55643,38.93967,13.52833,17.00182
2020-11-15,11.90476,7.14285,0.0,0,3.87755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.79332,9.22098,0.0,0.0,40.76782,13.52833,19.56124
2020-11-16,13.09523,0.0,0.0,0,3.87755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.74721,7.71065,0.47694,0.0,40.21937,13.89396,21.20658
2020-11-17,9.5238,14.28571,0.0,0,4.59183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.33704,7.47217,0.0,0.0,42.23034,10.96892,15.35648
