날짜,나이키 덩크 로우 골든로드 ,나이키 덩크 로우 라이트본,나이키 덩크 로우 바시티그린,나이키 덩크 로우 범고래,나이키 덩크 로우 유니버시티블루,나이키 덩크로우 코스트
2020-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-02,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-04,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-05,0.0,0.0,0.0,0.02591,0.0,0.0
2020-11-06,0.0,0.0,0.0,0.02159,0.0,0.0
2020-11-07,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-10,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-11,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-12,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-13,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-14,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-15,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-16,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-17,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-18,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-19,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-20,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-21,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-22,0.0,0.0,0.0,0.02159,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-24,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-25,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-26,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-27,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-28,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-29,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-02,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-03,0.0,0.0,0.0,0.03455,0.0,0.0
2020-12-04,0.0,0.0,0.0,0.03023,0.0,0.0
2020-12-05,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-06,0.0,0.0,0.0,0.02159,0.0,0.0
2020-12-07,0.0,0.0,0.0,0.03023,0.0,0.0
2020-12-08,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-09,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-10,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-11,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-12,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-13,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0,0.02591,0.0,0.0
2020-12-15,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-16,0.0,0.0,0.0,0.03023,0.0,0.0
2020-12-17,0.0,0.0,0.0,0.02591,0.0,0.0
2020-12-18,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-19,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0,0.05183,0.0,0.0
2020-12-21,0.0,0.0,0.0,0.03887,0.0,0.0
2020-12-22,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-23,0.0,0.0,0.0,0.03887,0.0,0.0
2020-12-24,0.0,0.0,0.0,0.05615,0.0,0.0
2020-12-25,0.0,0.0,0.0,0.05183,0.0,0.0
2020-12-26,0.0,0.0,0.0,0.06047,0.0,0.0
2020-12-27,0.0,0.0,0.0,0.07343,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.15118,0.0,1.81086
2020-12-29,0.0,0.0,0.0,0.12526,0.0,1.00603
2020-12-30,0.0,0.0,0.0,0.07343,0.0,0.0
2020-12-31,0.0,0.0,0.0,0.06911,0.0,0.0
2021-01-01,0.0,0.0,0.0,0.21165,0.0,4.22535
2021-01-02,0.0,0.0,0.0,0.85525,0.0,36.82092
2021-01-03,0.0,0.0,0.0,1.19217,0.0,18.51106
2021-01-04,0.0,0.0,0.0,8.03421,0.0,64.38631
2021-01-05,0.0,0.0,0.0,3.79249,0.0,48.49094
2021-01-06,0.0,0.0,0.0,3.73633,0.0,50.70422
2021-01-07,0.0,0.0,0.0,6.02133,0.0,57.54527
2021-01-08,0.0,0.0,0.0,7.14008,0.0,38.02816
2021-01-09,0.0,0.0,0.0,6.72973,0.0,36.41851
2021-01-10,0.0,0.0,0.0,6.53967,0.0,24.94969
2021-01-11,0.0,0.0,0.0,6.88955,0.0,27.36418
2021-01-12,0.0,0.0,0.0,7.7448,0.0,43.46076
2021-01-13,0.0,0.0,0.0,8.73828,0.0,44.4668
2021-01-14,0.0,0.0,0.0,11.15718,0.0,46.68008
2021-01-15,0.0,0.0,0.0,9.84838,0.0,52.9175
2021-01-16,0.0,0.0,0.0,8.83331,0.0,49.89939
2021-01-17,0.0,0.0,0.0,8.91106,0.0,47.08249
2021-01-18,0.0,0.0,0.0,7.34741,0.0,34.60764
2021-01-19,0.0,0.0,0.0,7.55474,0.0,34.00402
2021-01-20,0.0,0.0,0.0,6.84203,0.0,37.82696
2021-01-21,0.0,0.0,0.0,6.99753,0.0,28.97384
2021-01-22,0.0,0.0,0.0,7.53747,0.0,30.38229
2021-01-23,0.0,0.0,0.0,7.00617,0.0,25.75452
2021-01-24,0.0,0.0,0.0,7.42084,0.0,32.99798
2021-01-25,0.0,0.0,0.0,8.34089,0.0,100.0
2021-01-26,0.0,0.0,0.0,7.26102,0.0,53.92354
2021-01-27,0.0,0.0,0.0,5.68441,0.0,28.57142
2021-01-28,0.0,0.0,0.0,7.85711,0.0,33.4004
2021-01-29,0.0,0.0,0.0,7.33877,0.0,28.77263
2021-01-30,0.0,0.0,0.0,7.53315,0.0,33.80281
2021-01-31,0.0,0.0,0.0,9.02336,0.0,65.79476
2021-02-01,0.0,0.0,0.0,7.2351,0.0,56.13682
2021-02-02,0.0,0.0,0.0,6.22435,0.0,37.62575
2021-02-03,0.0,0.0,0.0,6.64334,0.0,38.02816
2021-02-04,0.0,0.0,0.0,6.39713,0.0,30.5835
2021-02-05,0.0,0.0,0.0,5.73625,0.0,23.94366
2021-02-06,0.0,0.0,0.0,5.46844,0.0,23.54124
2021-02-07,0.0,0.0,0.0,6.23731,0.0,27.16297
2021-02-08,0.0,0.0,0.0,6.87227,0.0,28.97384
2021-02-09,0.0,0.0,0.0,7.30422,0.0,23.74245
2021-02-10,0.0,0.0,0.0,10.28897,0.0,27.9678
2021-02-11,0.0,0.0,0.0,8.96289,0.0,41.44869
2021-02-12,0.0,0.0,0.0,7.49427,0.0,34.60764
2021-02-13,0.0,0.0,0.0,7.36901,0.0,26.96177
2021-02-14,0.0,0.0,0.0,8.25882,0.0,24.14486
2021-02-15,0.0,0.0,0.0,8.29337,0.0,29.97987
2021-02-16,0.0,0.0,0.0,6.77292,0.0,32.99798
2021-02-17,0.0,0.0,0.0,6.87227,0.0,25.95573
2021-02-18,0.0,0.0,0.0,7.57202,0.0,32.39436
2021-02-19,0.0,0.0,0.0,7.9003,0.0,21.93158
2021-02-20,0.0,0.0,0.0,7.85711,0.0,22.93762
2021-02-21,0.0,0.0,0.0,12.3364,0.0,26.15694
2021-02-22,0.0,0.0,0.0,8.25882,0.0,21.32796
2021-02-23,0.0,0.0,0.0,8.2329,0.0,25.75452
2021-02-24,0.0,0.0,0.0,7.44244,0.0,22.93762
2021-02-25,0.0,0.0,0.0,8.60006,0.0,36.61971
2021-02-26,0.0,0.0,0.0,6.92842,0.0,29.57746
2021-02-27,0.0,0.0,0.0,7.97805,0.0,20.72434
2021-02-28,0.0,0.0,0.0,8.8549,0.0,22.13279
2021-03-01,0.0,0.0,0.0,8.98449,0.0,66.8008
2021-03-02,0.0,0.0,0.0,6.99321,0.0,55.53319
2021-03-03,0.0,0.0,0.0,7.64545,0.0,49.69818
2021-03-04,0.0,0.0,0.0,8.08604,0.0,40.64386
2021-03-05,0.0,0.0,0.0,8.12923,0.0,31.18712
2021-03-06,0.0,0.0,0.0,8.43592,0.0,26.96177
2021-03-07,0.0,0.0,0.0,8.31065,0.0,27.36418
2021-03-08,0.0,0.0,0.0,9.55466,0.0,48.89336
2021-03-09,0.0,0.0,0.0,8.12491,0.0,29.57746
2021-03-10,0.0,0.0,0.0,8.32793,0.0,28.16901
2021-03-11,0.0,0.0,0.0,8.77715,0.0,32.39436
2021-03-12,0.0,0.0,0.0,7.54611,0.0,43.66197
2021-03-13,0.0,0.0,0.0,7.93054,0.0,30.18108
2021-03-14,0.0,0.0,0.0,8.42728,0.0,42.85714
2021-03-15,0.0,0.0,0.0,7.45972,0.0,30.98591
2021-03-16,0.0,0.0,0.0,6.98889,0.0,25.75452
2021-03-17,0.0,0.0,0.0,7.98237,0.0,26.55935
2021-03-18,0.0,0.0,0.0,8.21994,0.0,20.52313
2021-03-19,0.0,0.0,0.0,7.42084,0.0,19.7183
2021-03-20,0.0,0.0,0.0,8.85922,0.0,35.21126
2021-03-21,0.0,0.0,0.0,9.43371,0.0,35.61368
2021-03-22,0.0,0.0,0.0,9.3646,0.0,40.84507
2021-03-23,0.0,0.0,0.0,8.79011,0.0,30.7847
2021-03-24,0.0,0.0,0.0,7.97373,0.0,26.35814
2021-03-25,0.0,0.0,0.0,8.98017,0.0,24.74849
2021-03-26,0.0,0.0,0.0,7.9219,0.03023,24.74849
2021-03-27,0.0,0.0,0.0,8.50071,0.02159,28.16901
2021-03-28,0.0,0.0,0.0,7.88302,0.02591,24.34607
2021-03-29,0.0,0.0,0.0,8.36248,0.0,27.16297
2021-03-30,0.0,0.0,0.0,9.80951,0.0,21.73038
2021-03-31,0.0,0.0,0.0,12.26296,0.03023,19.11468
2021-04-01,0.0,0.0,0.0,14.51773,0.02159,25.55331
2021-04-02,0.0,0.0,0.0,29.07865,0.0,26.76056
2021-04-03,0.0,0.0,0.0,18.03377,0.0,17.70623
2021-04-04,0.0,0.0,0.0,13.66679,0.0,20.12072
2021-04-05,0.0,0.0,0.0,10.24145,0.0,23.13883
2021-04-06,0.0,0.0,0.0,10.09891,0.0,22.334
2021-04-07,0.0,0.0,0.0,9.77063,0.0,32.79678
2021-04-08,0.0,0.0,0.0,10.84186,0.0,22.93762
2021-04-09,0.0,0.0,0.0,9.97365,0.0,15.49295
2021-04-10,0.0,0.0,0.0,9.23502,0.0,17.10261
2021-04-11,0.0,0.0,0.0,10.11619,0.0,16.29778
2021-04-12,0.0,0.0,0.0,8.95857,0.0,19.5171
2021-04-13,0.0,0.0,0.0,8.82035,0.0,18.91348
2021-04-14,0.0,0.0,0.0,9.58489,0.0,20.52313
2021-04-15,0.0,0.0,0.0,8.87218,0.0,19.7183
2021-04-16,0.0,0.0,0.0,8.23722,0.0,16.9014
2021-04-17,0.0,0.0,0.0,7.55474,0.0,14.88933
2021-04-18,0.0,0.0,0.0,6.98457,0.0,18.71227
2021-04-19,0.0,0.0,0.0,7.97805,0.0,17.70623
2021-04-20,0.0,0.0,0.0,7.63681,0.03455,14.28571
2021-04-21,0.0,0.0,0.0,7.77936,0.02159,15.49295
2021-04-22,0.0,0.0,0.0,8.44455,0.0,18.10865
2021-04-23,0.0,0.0,0.03023,7.07096,0.02159,23.54124
2021-04-24,0.0,0.0,0.05183,100.0,0.09934,22.93762
2021-04-25,0.0,0.0,0.06047,47.45367,0.05615,23.94366
2021-04-26,0.0,0.0,0.14254,27.11329,0.16413,27.36418
2021-04-27,0.0,0.0,0.12958,19.02725,0.23757,24.54728
2021-04-28,0.0,0.0,0.99347,17.36858,2.2634,52.71629
2021-04-29,0.0,0.0,0.49241,13.00159,1.80985,40.44265
2021-04-30,0.0,0.0,0.4233,9.84406,1.52477,22.13279
2021-05-01,0.0,0.0,0.25052,14.67755,1.36927,18.30985
2021-05-02,0.0,0.0,0.27212,11.35588,0.95892,12.27364
2021-05-03,0.0,0.0,0.36715,9.50714,1.01075,17.10261
2021-05-04,0.0,0.0,0.32827,7.83551,0.87253,10.26156
2021-05-05,0.0,0.0,0.25916,8.16811,0.90276,10.66398
2021-05-06,0.0,0.0,0.32827,8.37976,1.26992,9.45674
2021-05-07,0.0,0.0,0.22461,7.64977,0.96324,17.50503
2021-05-08,0.0,0.0,0.17277,7.69729,0.86821,7.24346
2021-05-09,0.0,0.0,0.19005,7.92622,1.01507,9.65794
2021-05-10,0.0,0.0,0.31532,10.18962,1.10578,10.06036
2021-05-11,0.0,0.0,0.2894,9.78359,1.29152,11.06639
2021-05-12,0.0,0.0,0.38443,9.45099,1.49021,14.48692
2021-05-13,0.0,0.0,0.42762,7.9003,1.74506,14.68812
2021-05-14,0.0,0.0,0.48809,6.72973,1.27424,13.68209
2021-05-15,0.0,0.0,0.4233,7.17895,1.80121,8.65191
2021-05-16,0.0,0.0,0.55289,7.44244,1.61116,7.44466
2021-05-17,0.0,0.0,0.57448,6.26754,1.4427,9.65794
2021-05-18,0.0,0.0,0.61768,7.3906,1.70618,9.05432
2021-05-19,0.0,0.0,0.52265,6.27186,1.49021,9.25553
2021-05-20,0.0,0.0,0.55721,5.88743,1.49453,8.65191
2021-05-21,0.0,0.0,0.51401,6.15956,1.49453,8.85311
2021-05-22,0.0,0.0,0.54857,6.72109,0.99347,9.05432
2021-05-23,0.0,0.0,0.61336,6.9457,1.12306,11.06639
2021-05-24,0.0,0.0,0.52265,6.85499,0.81637,14.88933
2021-05-25,0.0,0.0,0.7991,6.83339,0.71703,11.67002
2021-05-26,0.0,0.0,0.73862,6.72109,0.94164,13.27967
2021-05-27,0.0,0.0,0.65223,6.89819,0.6436,15.69416
2021-05-28,0.0,0.03887,0.50105,6.57854,0.69975,10.66398
2021-05-29,0.0,0.02591,0.41034,6.79884,0.53993,10.26156
2021-05-30,0.0,0.02591,0.41898,6.85931,0.63496,14.48692
2021-05-31,0.0,0.02159,0.39307,6.09908,0.69975,6.84104
2021-06-01,0.0,0.0,0.52265,6.6131,0.71271,9.85915
2021-06-02,0.0,0.0,0.43626,6.23731,0.65655,7.44466
2021-06-03,0.0,0.0,0.311,6.44032,0.7559,15.29175
2021-06-04,0.0,0.0,0.2678,6.05157,0.72567,9.85915
2021-06-05,0.0,0.0,0.31964,6.18979,0.70839,10.06036
2021-06-06,0.0,0.0,0.36283,6.02133,0.63928,7.24346
2021-06-07,0.0,0.0,0.47514,5.26975,0.66951,12.27364
2021-06-08,0.0,0.0,0.34123,5.21359,0.62632,13.07847
2021-06-09,0.0,0.0,0.4233,4.56567,0.63496,15.09054
2021-06-10,0.0,0.0,0.43626,5.07537,0.71271,15.69416
2021-06-11,0.0,0.0,0.69111,5.04945,0.77318,17.10261
2021-06-12,0.0,0.0,0.43626,4.76437,0.75158,13.48088
2021-06-13,0.0,0.0,0.54857,4.63046,0.85525,11.2676
2021-06-14,0.0,0.0,0.5788,4.71685,0.92004,14.0845
2021-06-15,0.0,0.0,0.6436,5.49004,1.20945,17.70623
2021-06-16,0.0,0.0,0.6004,5.1704,1.04531,9.65794
2021-06-17,0.0,0.0,0.58312,4.64342,0.933,11.2676
2021-06-18,0.0,0.0,0.63064,4.09053,0.81205,6.43863
2021-06-19,0.0,0.0,0.53993,4.54839,0.76022,5.83501
2021-06-20,0.0,0.0,0.56585,4.38425,0.82501,8.65191
2021-06-21,0.0,0.0,0.5788,4.34538,0.81205,4.22535
2021-06-22,0.0,0.0,0.55289,4.93715,0.91572,8.65191
2021-06-23,0.0,0.0,0.58312,5.06673,0.76022,5.23138
2021-06-24,0.0,0.0,0.4665,4.9717,0.71703,8.24949
2021-06-25,0.0,0.0,0.44058,4.18124,0.58744,3.62173
2021-06-26,0.0,0.0,0.43194,4.88963,0.45786,6.03621
2021-06-27,0.0,0.0,0.35419,4.23739,0.39739,5.83501
2021-06-28,0.0,0.0,0.38875,3.97822,0.46218,4.62776
2021-06-29,0.0,0.0,0.4233,3.68882,0.43194,7.64587
2021-06-30,0.0,0.0,0.44058,4.21148,0.40171,5.03018
2021-07-01,0.0,0.0,0.52265,4.38857,0.46218,6.03621
