날짜,조던1 미드 그레이포크,조던1 미드 스모크그레이,조던1 미드 울프그레이,조던1 미드 짐레드
2020-11-01,0,3.46938,0.0,0.0
2020-11-02,0,3.57142,0.0,0.61224
2020-11-03,0,2.85714,0.0,0.91836
2020-11-04,0,3.67346,0.0,0.5102
2020-11-05,0,2.95918,0.0,0.5102
2020-11-06,0,4.18367,0.0,0.0
2020-11-07,0,3.06122,0.0,0.0
2020-11-08,0,2.7551,0.0,0.0
2020-11-09,0,3.87755,0.0,0.0
2020-11-10,0,3.77551,0.0,0.5102
2020-11-11,0,4.48979,0.0,0.0
2020-11-12,0,4.18367,0.0,0.0
2020-11-13,0,5.71428,0.0,0.0
2020-11-14,0,4.48979,0.0,0.5102
2020-11-15,0,3.87755,0.0,0.0
2020-11-16,0,3.87755,0.0,0.0
2020-11-17,0,4.59183,0.0,0.0
2020-11-18,0,4.28571,0.0,0.5102
2020-11-19,0,4.69387,0.0,0.0
2020-11-20,0,4.79591,0.0,0.0
2020-11-21,0,6.42857,0.0,1.83673
2020-11-22,0,5.40816,0.0,1.22448
2020-11-23,0,6.22448,0.0,1.42857
2020-11-24,0,5.10204,0.0,1.12244
2020-11-25,0,6.73469,0.0,0.71428
2020-11-26,0,6.73469,0.0,0.5102
2020-11-27,0,6.83673,0.0,0.71428
2020-11-28,0,5.30612,0.0,0.81632
2020-11-29,0,4.69387,0.0,0.0
2020-11-30,0,4.59183,0.0,0.0
2020-12-01,0,5.40816,0.0,0.5102
2020-12-02,0,6.53061,0.0,0.0
2020-12-03,0,6.32653,0.0,0.61224
2020-12-04,0,2.85714,0.0,0.5102
2020-12-05,0,6.22448,0.0,0.61224
2020-12-06,0,5.10204,0.0,0.0
2020-12-07,0,5.10204,0.0,0.71428
2020-12-08,0,4.59183,0.0,0.0
2020-12-09,0,5.61224,0.0,0.71428
2020-12-10,0,6.22448,0.0,0.5102
2020-12-11,0,6.42857,0.0,0.71428
2020-12-12,0,5.71428,0.0,0.0
2020-12-13,0,5.91836,0.0,0.0
2020-12-14,0,5.5102,0.0,0.5102
2020-12-15,0,6.0204,0.0,0.0
2020-12-16,0,4.79591,0.0,0.0
2020-12-17,0,5.20408,0.0,0.61224
2020-12-18,0,5.30612,0.0,0.61224
2020-12-19,0,5.61224,0.0,0.0
