,Unnamed: 0,location,name,num_faved,pid,price,status,uid,update_time,used,datetime,date,size,product_name,brand,product_type,color,release_price,location1,location2,location3
0,0,인천광역시 남동구 구월2동,(275)조던1x트레비스스캇x프라그먼트 로우,3,169031262,1640000,0,215295,1636596719,1,2021-11-11 11:11:59,2021-11-11,275,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,인천광역시,남동구,구월2동
1,1,서울특별시 강동구 상일동,265) 조던1 로우 트레비스 스캇 x프라그먼트,2,168989625,1600000,0,5777186,1636584658,2,2021-11-11 07:50:58,2021-11-11,265,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,서울특별시,강동구,상일동
2,2,광주광역시 광산구 월곡1동,[275] 조던1 X 트레비스 스캇 레트로 로우 OG SP 모카,0,169547054,1600000,0,727811,1636551612,1,2021-11-10 22:40:12,2021-11-10,275,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,광주광역시,광산구,월곡1동
3,3,서울특별시 양천구 신정6동,[275] (정품 인증) 나이키 조던1 트레비스스캇 로우,0,168617838,1680000,0,12998258,1636547447,2,2021-11-10 21:30:47,2021-11-10,275,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,서울특별시,양천구,신정6동
4,4,대전광역시 유성구 노은2동,[275] 나이키 조던 1 트레비스 스캇 프라그먼트 로우 ,7,168591342,1500000,0,6094855,1636538676,1,2021-11-10 19:04:36,2021-11-10,275,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,대전광역시,유성구,노은2동
5,5,서울특별시 강동구 천호제1동,나이키 조던1 트레비스 스캇 프라그먼트 로우 280,3,168322300,1780000,0,8180063,1636529027,2,2021-11-10 16:23:47,2021-11-10,280,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,서울특별시,강동구,천호제1동
6,6,서울특별시 은평구 갈현제2동,나이키/에어조던 로우1 트레비스 스캇 프라그먼트 240,9,161702577,1500000,0,3057229,1636524608,1,2021-11-10 15:10:08,2021-11-10,240,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,서울특별시,은평구,갈현제2동
7,7,서울특별시 송파구 가락2동,조던1x트레비스스캇x프라그먼트 로우 250,3,168028455,1450000,0,467535,1636504880,1,2021-11-10 09:41:20,2021-11-10,250,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,서울특별시,송파구,가락2동
8,8,,조던1 트레비스스캇 프라그먼트 로우 260,2,168756310,1570000,0,7866506,1636478166,1,2021-11-10 02:16:06,2021-11-10,260,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,NUL,NUL,
9,9,서울특별시 관악구 신사동,(255) 조던1 트레비스스캇 프라그먼트 로우 새상품,1,167893618,1600000,0,2928000,1636422020,2,2021-11-09 10:40:20,2021-11-09,255,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,서울특별시,관악구,신사동
10,10,충청남도 천안시 서북구 불당동,나이키 에어조던1 트레비스 스캇 프라그먼트 로우 280,12,167426536,1650000,0,12655598,1636330515,1,2021-11-08 09:15:15,2021-11-08,280,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,충청남도,천안시,서북구 불당동
11,11,충청남도 천안시 서북구 불당동,나이키 에어조던 1 레트로 로우 트레비스캇 프라그먼트 디자인 275,1,163063553,1800000,0,74305804,1636190993,1,2021-11-06 18:29:53,2021-11-06,275,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,충청남도,천안시,서북구 불당동
12,12,광주광역시 광산구 월곡1동,[285] 조던1 X 트레비스 스캇 레트로 로우 OG SP 모카,3,164763843,1600000,0,727811,1636110884,1,2021-11-05 20:14:44,2021-11-05,285,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,광주광역시,광산구,월곡1동
13,13,광주광역시 광산구 월곡1동,[255] 조던1 X 트레비스 스캇 레트로 로우 OG SP 모카,2,164214838,1700000,0,727811,1636110884,1,2021-11-05 20:14:44,2021-11-05,255,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,광주광역시,광산구,월곡1동
14,14,서울특별시 마포구 성산제2동,조던 1 로우 트레비스캇 255,0,162832431,1500000,0,5718441,1636076172,1,2021-11-05 10:36:12,2021-11-05,255,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,서울특별시,마포구,성산제2동
15,15,광주광역시 광산구 월곡1동,[270] 조던1 X 트레비스 스캇 레트로 로우 OG SP 모카,0,168323792,1450000,0,727811,1636025857,1,2021-11-04 20:37:37,2021-11-04,270,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,광주광역시,광산구,월곡1동
16,16,인천광역시 동구 화수1.화평동,나이키 조던1 트레비스 스캇 로우 255,38,161713765,1500000,0,522667,1636021809,1,2021-11-04 19:30:09,2021-11-04,255,조던 1 로우 트레비스 스캇,조던,조던 1 로우,트레비스 스캇,189000,인천광역시,동구,화수1.화평동
