,location,name,num_faved,pid,price,status,uid,update_time,used
0,,[240] 나이키 덩크 로우 라이트본,12,165560067,295000,0,202582,1636536835,2
1,,[270] 조던1 로우 스타피쉬 나이키,3,167037090,390000,0,202582,1636536828,2
2,강원도 횡성군 둔내면,나이키 덩크로우 범고래 나이키 덩크로우 치타,3,167886948,219000,0,6813696,1636536766,1
3,경기도 수원시 권선구 권선2동,[230]나이키 덩크로우 se플립,19,160053018,180000,0,9175260,1636536744,1
4,대구광역시 달서구 진천동,조던1 로우 짐레드 285 판매합니다!,2,169329245,210000,0,6871743,1636536731,1
5,부산광역시 사하구 신평제1동,나이키 덩크로우 검흰 범고래 275 새상품 팝니다,0,169520783,330000,0,8523435,1636536714,2
6,대구광역시 북구 칠성동,[260]나이키x오프화이트 덩크로우 더 50-로트 46 미시착 새제품,2,162083119,500000,0,12479852,1636536678,2
7,서울특별시 중랑구 면목제3.8동,나이키 덩크로우 범고래 270mm ,2,169096101,310000,0,77364582,1636536640,2
8,서울특별시 마포구 대흥동,나이키 덩크로우 범고래 255 우먼스,0,169520642,269000,0,4170042,1636536621,2
9,경기도 고양시 덕양구 신도동,나이키덩크로우서울,0,168204450,279000,0,7119884,1636536591,1
10,경기도 수원시 팔달구 매산동,나이키 덩크 범고래,0,169275318,330000,0,75713115,1636536546,1
11,서울특별시 은평구 불광제1동,[230]나이키 덩크 로우 트리플 화이트 230,6,167405289,140000,0,77695241,1636536500,2
12,서울특별시 중랑구 상봉제2동,[W240] 나이키 덩크로우 우먼스 범고래,0,169508728,290000,0,1128601,1636536493,2
13,서울특별시 중랑구 상봉제2동,[270] 나이키 덩크로우 레트로 범고래,2,169504414,285000,0,1128601,1636536493,2
14,부산광역시 사하구 다대제1동,나이키 덩크로우 범고래 270,0,169520093,300000,0,11029127,1636536255,1
15,서울특별시 동대문구 휘경제2동,나이키 우먼스 덩크 로우 범고래 250 새제품,0,169519978,290000,0,3729173,1636536184,2
16,경기도 의정부시 송산2동,(265)나이키 nba 덩크로우 네츠 덩크,0,169519839,200000,0,8887871,1636536094,1
17,서울특별시 관악구 서원동,[275]나이키 sb덩크로우 트럭잇(truck it) 선인장,2,168532816,190000,0,5057180,1636536091,2
18,서울특별시 송파구 문정1동,275 270 260 나이키 덩크 로우 SE 서울 스페셜 기프트 새상품,0,169519802,349000,0,3066051,1636536069,2
19,충청북도 청주시 청원구 오창읍,나이키 덩크 로우 범고래 285,0,169519764,270000,0,74286313,1636536051,1
20,대전광역시 동구 홍도동,나이키 범고래 덩크로우 (w) 235,0,169519706,300000,0,11330857,1636536013,2
21,서울특별시 노원구 공릉1동,조던1/ 덩크로우unc/ 225,13,165740468,189000,0,3401043,1636535908,2
22,서울특별시 노원구 공릉1동,나이키/ 덩크로우 보르도/ w270,0,168878414,379000,0,3401043,1636535907,2
23,대구광역시 북구 무태조야동,[285]나이키 덩크 로우 챔피언쉽 그레이,1,169505778,228000,0,5679844,1636535794,1
24,서울특별시 강남구 논현1동,나이키 범고래 덩크 로우 레트로 255 ,4,168956660,270000,0,74403351,1636535764,1
25,대전광역시 서구 둔산3동,나이키 덩크 로우 범고래 240,0,169519276,300000,0,1030713,1636535746,2
26,경기도 군포시 궁내동,나이키 덩크로우 범고래 270,8,169101022,290000,0,5882967,1636535699,1
27,서울특별시 동작구 사당제2동,270사이즈 나이티 덩크 로우 범고래,0,169519072,290000,0,5203521,1636535627,2
28,경기도 수원시 권선구 입북동,나이키 덩크로우 범고래 260,1,169417773,310000,0,8233519,1636535540,1
29,경기도 부천시 중3동,나이키 우먼스 범고래 덩크로우,0,169518812,300000,0,13185900,1636535450,1
30,,가든#덩크로우#커뮤니티가든#275,13,133069846,440000,0,8061455,1636535406,13
31,서울특별시 강남구 논현1동,나이키 덩크로우 SB 덩크하이 시러큐스 시카고 켄터키 엠부쉬 매입 급처,2,154668545,1500000,0,76074122,1636535405,13
32,인천광역시 계양구 계산1동,[270] 덩크로우 유니버시티 블루,1,169194596,249000,0,12180470,1636535383,1
33,,나이키 덩크로우 범고래 230,0,169491054,290000,0,74796866,1636535293,2
34,,(당일배송)나이키 덩크로우 범고래 260 새상품,1,169130102,330000,0,1995934,1636535276,2
