,ad,bizseller,checkout,contact_hope,free_shipping,is_adult,is_super_up_shop,location,max_cpc,name,num_comment,num_faved,only_neighborhood,outlink_url,pid,price,product_image,pu_id,ref_campaign,ref_code,ref_medium,ref_content,ref_source,status,style,super_up,tag,uid,update_time,used,bun_pay_filter_enabled,imp_id,ad_ref,faved
0,False,False,False,False,False,False,,서울특별시 중구 동화동,,나이키 W덩크로우 범고래 240 새상품,0,0,False,,169437028,375000,https://media.bunjang.co.kr/product/169437028_1_1636518653_w{res}.jpg,,,soldout_test_v2:B,,,,0,,,나이키 덩크로우 범고래 240 새상품,3584822,1636518640,2,True,3903618b4b6d08dc7c70,,False
1,False,False,False,False,False,False,,서울특별시 강남구 대치2동,,[265~70] W 나이키 덩크로우 범고래,0,4,False,,169040412,295000,https://media.bunjang.co.kr/product/169040412_1_1636436298_w{res}.jpg,,,soldout_test_v2:B,,,,0,,,나이키범고래 270 나이키덩크로우 나이키덩크로우범고 범고래,6524709,1636518563,1,False,3903618b4b6d08dc7c71,,False
2,False,False,False,False,True,False,,,,[225]나이키 범고래 덩크로우 빅키즈 새상품,0,0,False,,169440223,295000,https://media.bunjang.co.kr/product/169440223_1_1636518464_w{res}.jpg,,,soldout_test_v2:B,,,,0,,,나이키덩크로우,12322749,1636518444,1,False,3903618b4b6d08dc7c72,,False
3,False,False,False,False,True,False,,인천광역시 남구 용현2동,,나이키 우먼스 범고래 235 택포 직거래가능,0,0,False,,169111358,325000,https://media.bunjang.co.kr/product/169111358_1_1636448731_w{res}.jpg,,,soldout_test_v2:B,,,,0,,,나이키 범고래 덩크로우,1583666,1636518316,2,False,3903618b4b6d08dc7c73,,False
4,False,False,False,False,False,False,,,,나이키 덩크로우 범고래 230,0,0,False,,169491054,290000,https://media.bunjang.co.kr/product/169491054_1_1636518197_w{res}.jpg,,,soldout_test_v2:B,,,,0,,,나이키 덩크 범고래 나이키덩크로우 230,74796866,1636518197,2,True,3903618b4b6d08dc7c74,,False
5,False,False,False,False,True,False,,,,280 나이키 덩크로우 범고래,0,2,False,,168722425,329000,https://media.bunjang.co.kr/product/168722425_1_1635915975_w{res}.jpg,,,soldout_test_v2:B,,,,0,,,범고래 덩크로우 덩크 나이키 280,4502829,1636517980,1,False,3903618b4b6d08dc7c75,,False
6,False,False,False,False,False,False,,부산광역시 금정구 부곡제3동,,(W240) 나이키 덩크로우 블랙 범고래 화이트,0,3,False,,169198874,300000,https://media.bunjang.co.kr/product/169198874_1_1636259405_w{res}.jpg,,,soldout_test_v2:B,,,,0,,,나이키 덩크 하이 로우 230235,7309610,1636517897,2,True,3903618b4b6d08dc7c76,,False
7,False,False,False,False,False,False,,광주광역시 광산구 첨단2동,,(250) 나이키 덩크로우 범고래 우먼,0,1,False,,169434706,300000,https://media.bunjang.co.kr/product/169434706_1_1636456716_w{res}.jpg,,,soldout_test_v2:B,,,,0,,,,7002915,1636517841,2,False,3903618b4b6d08dc7c77,,False
8,False,False,False,False,False,False,,,,나이키 덩크로우 범고래 270,0,2,False,,169116024,300000,https://media.bunjang.co.kr/product/169116024_1_1636385322_w{res}.jpg,,,soldout_test_v2:B,,,,0,,,나이키 나이키덩크로우범고래,3230898,1636517764,2,False,3903618b4b6d08dc7c78,,False
9,False,False,False,False,False,False,,대구광역시 중구 동인동,,나이키 w범고래 240,0,0,False,,169372481,300000,https://media.bunjang.co.kr/product/169372481_1_1636409733_w{res}.jpg,,,soldout_test_v2:B,,,,0,,,나이키덩크로우범고래 나이키 범고래 덩크로우 나이키덩크,6292573,1636517723,1,True,3903618b4b6d08dc7c79,,False
10,False,False,False,False,False,False,,부산광역시 해운대구 좌제2동,,나이키 범고래 덩크로우 280,0,0,False,,169490184,310000,https://media.bunjang.co.kr/product/169490184_1_1636517555_w{res}.jpg,,,soldout_test_v2:B,,,,0,,,,8616840,1636517555,1,False,3903618b4b6d08dc7c7a,,False
11,False,False,False,False,False,False,,경기도 화성시 반월동,,[240] 나이키 우먼스 덩크 로우 검흰 범고래,2,13,False,,150545649,459000,https://media.bunjang.co.kr/product/150545649_1_1621415914_w{res}.jpg,,,soldout_test_v2:B,,,,0,,,나이키 덩크 범고래 dunk 덩크로우,3118321,1636517451,2,False,3903618b4b6d08dc7c7b,,False
12,False,False,False,False,False,False,,충청남도 당진시 당진3동,,나이키 덩크로우 범고래 275,0,0,False,,169404894,305000,https://media.bunjang.co.kr/product/169404894_1_1636517411_w{res}.jpg,,,soldout_test_v2:B,,,,0,,,나이키덩크 #나이키덩크로우범고래 나이키덩크범고래 범고래275 덩크로우범고래275,3017220,1636517416,1,False,3903618b4b6d08dc7c7c,,False
13,False,False,False,False,False,False,,충청북도 청주시 청원구 우암동,,나이키 덩크 로우 범고래 275mm 새상품 판매,3,1,False,,155557645,420000,https://media.bunjang.co.kr/product/155557645_1_1622445979_w{res}.jpg,,,soldout_test_v2:B,,,,0,,,나이키 나이키덩크로우범고래 덩크로우범고래 덩크로우 275mm,10902219,1636517118,2,False,3903618b4b6d08dc7c7d,,False
14,False,False,False,False,False,False,,경기도 부천시 중1동,,나이키 범고래 덩크로우 235,0,0,False,,169489484,310000,https://media.bunjang.co.kr/product/169489484_1_1636517009_w{res}.jpg,,,soldout_test_v2:B,,,,0,,,나이키 범고래 범고래235 덩크로우 나이키덩크로우범고래235,2595533,1636517009,2,True,3903618b4b6d08dc7c7e,,False
15,False,False,False,False,False,False,,경기도 안산시 단원구 중앙동,,[300]덩크로우 범고래 300사이즈,0,1,False,,168165317,310000,https://media.bunjang.co.kr/product/168165317_1_1636470445_w{res}.jpg,,,soldout_test_v2:B,,,,0,,,나이키 범고래 범고래덩크 덩크 범고래300,4885780,1636516566,1,False,3903618b4b6d08dc7c7f,,False
16,False,False,False,False,True,False,,서울특별시 강동구 암사제1동,,GS 235 덩크로우 범고래 판매,0,1,False,,169488101,250000,https://media.bunjang.co.kr/product/169488101_1_1636515954_w{res}.jpg,,,soldout_test_v2:B,,,,0,,,덩크 덩크로우 범고래 나이키,12460609,1636515954,1,False,3903618b4b6d08dc7c80,,False
