날짜,나이키덩크하이네이비,나이키덩크하이범고래,나이키덩크하이오렌지
2020-11-15,,,
2020-11-17,,,
2020-11-20,1.0,,
2020-11-25,,,
2020-12-03,,,
2020-12-04,,,
2020-12-05,,,
2020-12-07,,,
2020-12-11,,,
2020-12-16,,,
2020-12-17,,,
2020-12-22,1.0,,
2020-12-24,,,
2020-12-29,,,
2020-12-31,,,
2021-01-01,,,
2021-01-03,,,
2021-01-04,,1.0,
2021-01-05,,1.0,
2021-01-06,,1.0,
2021-01-07,,,
2021-01-08,,1.0,
2021-01-09,,3.0,
2021-01-10,,4.0,
2021-01-11,,2.0,
2021-01-12,,3.0,
2021-01-13,,3.0,
2021-01-14,,2.0,
2021-01-15,,3.0,
2021-01-16,,5.0,
2021-01-17,,6.0,
2021-01-18,,1.0,
2021-01-19,,4.0,
2021-01-20,,5.0,
2021-01-21,,5.0,
2021-01-22,,5.0,
2021-01-23,,8.0,
2021-01-24,,9.0,
2021-01-25,,14.0,
2021-01-26,,6.0,
2021-01-27,,8.0,
2021-01-28,,6.0,
2021-01-29,,6.0,
2021-01-30,,8.0,
2021-01-31,,14.0,
2021-02-01,,10.0,
2021-02-02,,9.0,
2021-02-03,,12.0,
2021-02-04,,12.0,
2021-02-05,,8.0,
2021-02-06,,5.0,
2021-02-07,,6.0,
2021-02-08,1.0,8.0,
2021-02-09,,6.0,
2021-02-10,,6.0,
2021-02-11,,12.0,
2021-02-12,,5.0,
2021-02-13,,17.0,
2021-02-14,,14.0,
2021-02-15,,9.0,
2021-02-16,,11.0,
2021-02-17,,7.0,
2021-02-18,1.0,9.0,
2021-02-19,,14.0,
2021-02-20,,12.0,
2021-02-21,,11.0,
2021-02-22,,9.0,
2021-02-23,,11.0,
2021-02-24,,7.0,
2021-02-25,,9.0,
2021-02-26,,5.0,
2021-02-27,,16.0,
2021-02-28,,15.0,
2021-03-01,,15.0,
2021-03-02,,17.0,
2021-03-03,,10.0,
2021-03-04,,12.0,2.0
2021-03-05,,13.0,6.0
2021-03-06,,10.0,4.0
2021-03-07,,11.0,2.0
2021-03-08,,18.0,1.0
2021-03-09,1.0,13.0,1.0
2021-03-10,,10.0,
2021-03-11,,13.0,
2021-03-12,,9.0,1.0
2021-03-13,,6.0,1.0
2021-03-14,,7.0,1.0
2021-03-15,,13.0,1.0
2021-03-16,,5.0,1.0
2021-03-17,,10.0,
2021-03-18,,5.0,
2021-03-19,,11.0,
2021-03-20,,13.0,1.0
2021-03-21,,9.0,
2021-03-22,,13.0,
2021-03-23,,12.0,
2021-03-24,,10.0,
2021-03-25,,10.0,
2021-03-26,,9.0,1.0
2021-03-27,,5.0,
2021-03-28,,12.0,
2021-03-29,,10.0,
2021-03-30,,6.0,1.0
2021-03-31,,9.0,1.0
2021-04-01,,9.0,1.0
2021-04-02,,9.0,
2021-04-03,,11.0,2.0
2021-04-04,,12.0,1.0
2021-04-05,,10.0,1.0
2021-04-06,,11.0,1.0
2021-04-07,,12.0,1.0
2021-04-08,,7.0,3.0
2021-04-09,,13.0,
2021-04-10,,11.0,1.0
2021-04-11,,12.0,1.0
2021-04-12,,8.0,1.0
2021-04-13,,13.0,
2021-04-14,,5.0,
2021-04-15,,10.0,1.0
2021-04-16,,7.0,
2021-04-17,,13.0,
2021-04-18,,9.0,2.0
2021-04-19,,11.0,
2021-04-20,,6.0,
2021-04-21,,14.0,
2021-04-22,,9.0,
2021-04-23,,13.0,
2021-04-24,,35.0,
2021-04-25,,16.0,
2021-04-26,,21.0,
2021-04-27,,19.0,
2021-04-28,,23.0,
2021-04-29,,37.0,1.0
2021-04-30,,47.0,
2021-05-01,,100.0,2.0
2021-05-02,,28.0,
2021-05-03,,26.0,1.0
2021-05-04,,27.0,
2021-05-05,,17.0,
2021-05-06,,22.0,
2021-05-07,,17.0,
2021-05-08,,11.0,
2021-05-09,,8.0,1.0
2021-05-10,,9.0,1.0
2021-05-11,,9.0,1.0
2021-05-12,,10.0,
2021-05-13,,6.0,1.0
2021-05-14,,3.0,
2021-05-15,,6.0,
2021-05-16,,12.0,4.0
2021-05-17,,11.0,1.0
2021-05-18,,9.0,1.0
2021-05-19,,6.0,
2021-05-20,,4.0,
2021-05-21,,8.0,1.0
2021-05-22,,8.0,2.0
2021-05-23,,7.0,1.0
2021-05-24,,4.0,3.0
2021-05-25,,3.0,1.0
2021-05-26,,6.0,2.0
2021-05-27,,7.0,2.0
2021-05-28,,14.0,1.0
2021-05-29,,6.0,1.0
2021-05-30,,6.0,2.0
2021-05-31,,9.0,1.0
2021-06-01,,9.0,1.0
2021-06-02,,11.0,1.0
2021-06-03,,10.0,1.0
2021-06-04,,8.0,
2021-06-05,,6.0,
2021-06-06,,6.0,
2021-06-07,,10.0,
2021-06-08,,7.0,
2021-06-09,,6.0,
2021-06-10,,9.0,
2021-06-11,1.0,6.0,1.0
2021-06-12,,3.0,
2021-06-13,,3.0,
2021-06-14,,11.0,
2021-06-15,,4.0,
2021-06-16,,7.0,1.0
