날짜,뉴발란스993네이비,뉴발란스993그레이,뉴발란스993블랙
2020-11-13,12.0,20,16.0
2020-11-14,7.0,15,9.0
2020-11-15,9.0,25,20.0
2020-11-16,10.0,28,22.0
2020-11-17,6.0,24,11.0
2020-11-18,10.0,23,5.0
2020-11-19,8.0,27,13.0
2020-11-20,5.0,20,22.0
2020-11-21,6.0,23,18.0
2020-11-22,11.0,28,20.0
2020-11-23,4.0,21,10.0
2020-11-24,5.0,35,10.0
2020-11-25,8.0,38,20.0
2020-11-26,12.0,23,13.0
2020-11-27,4.0,27,15.0
2020-11-28,3.0,32,13.0
2020-11-29,8.0,23,16.0
2020-11-30,11.0,26,18.0
2020-12-01,14.0,41,15.0
2020-12-02,7.0,38,21.0
2020-12-03,5.0,25,14.0
2020-12-04,4.0,30,15.0
2020-12-05,9.0,29,13.0
2020-12-06,9.0,40,15.0
2020-12-07,4.0,36,16.0
2020-12-08,9.0,34,15.0
2020-12-09,11.0,41,16.0
2020-12-10,6.0,50,25.0
2020-12-11,17.0,34,24.0
2020-12-12,4.0,58,22.0
2020-12-13,14.0,59,27.0
2020-12-14,4.0,54,23.0
2020-12-15,6.0,35,37.0
2020-12-16,6.0,42,12.0
2020-12-17,10.0,32,19.0
2020-12-18,5.0,31,18.0
2020-12-19,3.0,27,18.0
2020-12-20,5.0,40,28.0
2020-12-21,10.0,39,24.0
2020-12-22,11.0,29,20.0
2020-12-23,10.0,27,25.0
2020-12-24,11.0,27,21.0
2020-12-25,9.0,22,16.0
2020-12-26,11.0,37,26.0
2020-12-27,14.0,42,29.0
2020-12-28,8.0,40,27.0
2020-12-29,13.0,33,18.0
2020-12-30,11.0,32,18.0
2020-12-31,8.0,20,21.0
2021-01-01,12.0,34,20.0
2021-01-02,19.0,43,32.0
2021-01-03,15.0,42,23.0
2021-01-04,3.0,40,19.0
2021-01-05,13.0,49,18.0
2021-01-06,12.0,49,27.0
2021-01-07,9.0,40,27.0
2021-01-08,5.0,40,28.0
2021-01-09,10.0,58,23.0
2021-01-10,22.0,81,24.0
2021-01-11,12.0,70,31.0
2021-01-12,23.0,67,23.0
2021-01-13,24.0,46,21.0
2021-01-14,10.0,56,15.0
2021-01-15,13.0,61,18.0
2021-01-16,18.0,53,12.0
2021-01-17,13.0,63,21.0
2021-01-18,12.0,51,24.0
2021-01-19,5.0,53,20.0
2021-01-20,7.0,70,25.0
2021-01-21,8.0,62,13.0
2021-01-22,14.0,36,25.0
2021-01-23,17.0,45,20.0
2021-01-24,11.0,52,19.0
2021-01-25,13.0,55,24.0
2021-01-26,12.0,40,22.0
2021-01-27,9.0,31,14.0
2021-01-28,2.0,38,18.0
2021-01-29,4.0,29,19.0
2021-01-30,11.0,51,15.0
2021-01-31,8.0,43,24.0
2021-02-01,4.0,62,23.0
2021-02-02,14.0,49,14.0
2021-02-03,11.0,40,34.0
2021-02-04,7.0,33,25.0
2021-02-05,7.0,39,19.0
2021-02-06,6.0,55,26.0
2021-02-07,5.0,60,20.0
2021-02-08,4.0,58,17.0
2021-02-09,9.0,44,16.0
2021-02-10,10.0,44,24.0
2021-02-11,10.0,43,14.0
2021-02-12,5.0,64,14.0
2021-02-13,15.0,58,14.0
2021-02-14,11.0,93,25.0
2021-02-15,11.0,100,19.0
2021-02-16,14.0,67,23.0
2021-02-17,12.0,53,33.0
2021-02-18,8.0,52,21.0
2021-02-19,11.0,44,32.0
2021-02-20,4.0,38,17.0
2021-02-21,6.0,59,20.0
2021-02-22,3.0,49,15.0
2021-02-23,15.0,41,18.0
2021-02-24,5.0,51,14.0
2021-02-25,4.0,48,16.0
2021-02-26,5.0,44,17.0
2021-02-27,11.0,49,14.0
2021-02-28,6.0,39,12.0
2021-03-01,9.0,51,17.0
2021-03-02,5.0,42,11.0
2021-03-03,6.0,39,17.0
2021-03-04,4.0,44,23.0
2021-03-05,9.0,38,20.0
2021-03-06,6.0,34,14.0
2021-03-07,2.0,54,25.0
2021-03-08,9.0,38,19.0
2021-03-09,9.0,48,25.0
2021-03-10,9.0,40,12.0
2021-03-11,5.0,30,18.0
2021-03-12,1.0,30,17.0
2021-03-13,1.0,39,10.0
2021-03-14,8.0,40,12.0
2021-03-15,5.0,30,10.0
2021-03-16,6.0,36,11.0
2021-03-17,3.0,35,10.0
2021-03-18,3.0,44,7.0
2021-03-19,4.0,33,6.0
2021-03-20,2.0,43,12.0
2021-03-21,5.0,43,16.0
2021-03-22,4.0,32,10.0
2021-03-23,4.0,32,11.0
2021-03-24,5.0,40,12.0
2021-03-25,7.0,26,9.0
2021-03-26,2.0,37,15.0
2021-03-27,9.0,36,16.0
2021-03-28,10.0,45,11.0
2021-03-29,9.0,35,10.0
2021-03-30,4.0,36,11.0
2021-03-31,6.0,22,16.0
2021-04-01,3.0,28,13.0
2021-04-02,3.0,28,15.0
2021-04-03,3.0,25,8.0
2021-04-04,4.0,40,16.0
2021-04-05,6.0,27,13.0
2021-04-06,6.0,31,9.0
2021-04-07,4.0,31,4.0
2021-04-08,2.0,21,12.0
2021-04-09,4.0,28,9.0
2021-04-10,9.0,37,8.0
2021-04-11,5.0,39,17.0
2021-04-12,9.0,28,12.0
2021-04-13,7.0,40,14.0
2021-04-14,8.0,22,9.0
2021-04-15,4.0,31,11.0
2021-04-16,12.0,23,9.0
2021-04-17,12.0,41,14.0
2021-04-18,8.0,43,20.0
2021-04-19,6.0,38,13.0
2021-04-20,3.0,41,10.0
2021-04-21,4.0,39,11.0
2021-04-22,2.0,39,6.0
2021-04-23,4.0,27,11.0
2021-04-24,2.0,31,10.0
2021-04-25,1.0,44,9.0
2021-04-26,3.0,45,13.0
2021-04-27,5.0,51,10.0
2021-04-28,2.0,34,9.0
2021-04-29,1.0,45,6.0
2021-04-30,6.0,42,5.0
2021-05-01,2.0,30,6.0
2021-05-02,4.0,38,10.0
2021-05-03,2.0,40,13.0
2021-05-04,1.0,34,9.0
2021-05-05,4.0,41,11.0
2021-05-06,4.0,49,11.0
2021-05-07,8.0,29,4.0
2021-05-08,3.0,32,8.0
2021-05-09,7.0,31,11.0
