날짜,나이키 덩크하이 네이비,나이키 덩크하이 범고래,나이키 덩크하이 오렌지
2020-11-01,0.0,0.0,0.0
2020-11-02,0.0,0.0,0.0
2020-11-03,0.0,0.0,0.0
2020-11-04,0.0,0.0,0.0
2020-11-05,0.0,0.0,0.0
2020-11-06,0.0,0.0,0.0
2020-11-07,0.0,0.0,0.0
2020-11-08,0.0,0.0,0.0
2020-11-09,0.0,0.0,0.0
2020-11-10,0.0,0.0,0.0
2020-11-11,0.0,0.0,0.0
2020-11-12,0.0,0.0,0.0
2020-11-13,0.0,0.0,0.0
2020-11-14,0.0,0.0,0.0
2020-11-15,0.0,0.0,0.0
2020-11-16,0.0,0.0,0.0
2020-11-17,0.0,0.0,0.0
2020-11-18,0.0,0.0,0.0
2020-11-19,0.0,0.0,0.0
2020-11-20,0.0,0.0,0.0
2020-11-21,0.0,0.0,0.0
2020-11-22,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0
2020-11-24,0.0,0.0,0.0
2020-11-25,0.0,0.0,0.0
2020-11-26,0.0,0.0,0.0
2020-11-27,0.0,0.0,0.0
2020-11-28,0.0,0.0,0.0
2020-11-29,0.0,0.0,0.0
2020-11-30,0.0,0.0,0.0
2020-12-01,0.0,0.0,0.0
2020-12-02,0.0,0.0,0.0
2020-12-03,0.0,0.0,0.0
2020-12-04,0.0,0.0,0.0
2020-12-05,0.0,0.0,0.0
2020-12-06,0.0,0.0,0.0
2020-12-07,0.0,0.0,0.0
2020-12-08,0.0,0.0,0.0
2020-12-09,0.0,0.0,0.0
2020-12-10,0.0,0.0,0.0
2020-12-11,0.0,0.0,0.0
2020-12-12,0.0,0.0,0.0
2020-12-13,0.0,0.0,0.0
2020-12-14,0.0,0.0,0.0
2020-12-15,0.0,0.0,0.0
2020-12-16,0.0,0.0,0.0
2020-12-17,0.0,0.0,0.0
2020-12-18,0.0,0.0,0.0
2020-12-19,0.0,0.0,0.0
2020-12-20,0.0,0.0,0.0
2020-12-21,0.0,0.0,0.0
2020-12-22,0.0,0.0,0.0
2020-12-23,0.0,0.0,0.0
2020-12-24,0.0,0.0,0.0
2020-12-25,0.0,0.0,0.0
2020-12-26,0.0,0.0,0.0
2020-12-27,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0
2020-12-29,0.0,0.0,0.0
2020-12-30,0.0,0.0,0.0
2020-12-31,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0
2021-01-02,0.0,0.40221,0.0
2021-01-03,0.0,0.30165,0.0
2021-01-04,0.0,0.0,0.0
2021-01-05,0.0,0.55304,0.0
2021-01-06,0.0,0.50276,0.0
2021-01-07,0.0,0.55304,0.0
2021-01-08,0.0,0.50276,0.0
2021-01-09,0.0,0.80442,0.0
2021-01-10,0.0,0.75414,0.0
2021-01-11,0.0,1.0558,0.0
2021-01-12,0.0,0.75414,0.0
2021-01-13,0.0,0.8547,0.0
2021-01-14,0.0,0.75414,0.0
2021-01-15,0.0,0.70387,0.0
2021-01-16,0.0,0.95525,0.0
2021-01-17,0.0,0.8547,0.0
2021-01-18,0.0,0.90497,0.0
2021-01-19,0.0,1.15635,0.0
2021-01-20,0.0,1.00553,0.0
2021-01-21,0.0,1.00553,0.0
2021-01-22,0.0,1.75967,0.0
2021-01-23,0.0,2.31271,0.0
2021-01-24,0.0,2.31271,0.0
2021-01-25,0.0,3.77073,0.0
2021-01-26,0.0,2.96631,0.0
2021-01-27,0.0,3.01659,0.0
2021-01-28,0.0,3.72046,0.0
2021-01-29,0.0,3.46907,0.0
2021-01-30,0.0,2.86576,0.0
2021-01-31,0.0,4.87682,0.0
2021-02-01,0.0,4.2735,0.0
2021-02-02,0.0,3.26797,0.0
2021-02-03,0.0,3.6199,0.0
2021-02-04,0.0,2.46354,0.0
2021-02-05,0.0,3.46907,0.0
2021-02-06,0.0,2.96631,0.0
2021-02-07,0.0,3.31825,0.0
2021-02-08,0.0,2.7652,0.0
2021-02-09,0.0,2.96631,0.0
2021-02-10,0.0,3.36852,0.0
2021-02-11,0.0,2.96631,0.0
2021-02-12,0.0,3.11714,0.0
2021-02-13,0.0,3.51935,0.0
2021-02-14,0.25138,4.02212,0.0
2021-02-15,0.0,3.92156,0.0
2021-02-16,0.0,3.06686,0.0
2021-02-17,0.0,2.81548,0.0
2021-02-18,0.0,3.67018,0.0
2021-02-19,0.0,3.77073,0.0
2021-02-20,0.0,3.87129,0.0
2021-02-21,0.0,3.82101,0.0
2021-02-22,0.0,4.77626,0.0
2021-02-23,0.0,3.97184,0.0
2021-02-24,0.0,3.31825,0.0
2021-02-25,0.25138,3.31825,0.0
2021-02-26,0.0,2.51382,0.0
2021-02-27,0.0,2.7652,0.65359
2021-02-28,0.0,3.82101,0.65359
2021-03-01,0.25138,4.82654,0.95525
2021-03-02,0.0,5.17848,1.45801
2021-03-03,0.0,3.36852,2.06133
2021-03-04,0.0,4.02212,5.1282
2021-03-05,0.0,6.03318,29.46204
2021-03-06,0.0,5.68124,19.30618
2021-03-07,0.0,5.53041,12.4183
2021-03-08,0.0,7.13926,4.57516
2021-03-09,0.0,10.70889,2.61437
2021-03-10,0.0,5.07792,2.71493
2021-03-11,0.0,4.47461,1.30718
2021-03-12,0.0,2.11161,1.20663
2021-03-13,0.0,2.21216,0.90497
2021-03-14,0.0,3.16742,1.20663
2021-03-15,0.0,4.32378,1.0558
2021-03-16,0.0,3.26797,1.40774
2021-03-17,0.0,3.21769,0.55304
2021-03-18,0.0,2.26244,1.25691
2021-03-19,0.0,2.41327,0.90497
2021-03-20,0.0,4.32378,1.20663
2021-03-21,0.0,3.06686,1.40774
2021-03-22,0.0,4.22322,1.50829
2021-03-23,0.0,4.22322,0.75414
2021-03-24,0.0,3.72046,0.95525
