날짜,뉴발란스 992 그레이,뉴발란스 992 네이비,뉴발란스 992 블랙그레이,뉴발란스 992 화이트실버
2020-11-01,7.47217,4.531,0.0,0.71542
2020-11-02,9.37996,3.5771,0.0,0.63593
2020-11-03,9.77742,3.17965,0.0,0.47694
2020-11-04,12.48012,4.21303,0.0,0.39745
2020-11-05,11.44674,2.22575,0.0,0.55643
2020-11-06,13.593,3.97456,0.0,1.11287
2020-11-07,11.84419,4.45151,0.0,0.0
2020-11-08,15.26232,7.31319,0.0,0.0
2020-11-09,13.19554,7.2337,0.0,0.55643
2020-11-10,13.99046,7.47217,0.0,0.39745
2020-11-11,13.19554,10.96979,0.0,0.0
2020-11-12,15.58028,6.99523,0.0,0.63593
2020-11-13,17.2496,8.26709,0.0,0.0
2020-11-14,17.72655,8.58505,0.0,0.55643
2020-11-15,19.79332,9.22098,0.0,0.0
2020-11-16,20.74721,7.71065,0.47694,0.0
2020-11-17,22.33704,7.47217,0.0,0.0
2020-11-18,19.55484,6.83624,0.0,0.0
2020-11-19,18.36248,7.07472,0.0,0.39745
2020-11-20,16.21621,7.15421,0.0,0.0
2020-11-21,16.2957,7.15421,0.0,0.0
2020-11-22,20.66772,7.47217,0.0,0.0
2020-11-23,18.20349,6.04133,0.0,0.0
2020-11-24,16.05723,5.16693,0.0,0.0
2020-11-25,20.74721,6.12082,0.0,0.55643
2020-11-26,25.11923,5.00794,0.0,0.0
2020-11-27,21.54213,5.88235,0.0,0.79491
2020-11-28,19.87281,7.79014,0.0,0.0
2020-11-29,22.57551,6.2798,0.0,0.0
2020-11-30,20.9062,7.15421,0.0,0.0
2020-12-01,24.80127,8.82352,0.0,0.71542
2020-12-02,24.4833,6.75675,0.0,0.0
2020-12-03,19.39586,6.04133,0.0,0.63593
2020-12-04,23.6089,5.96184,0.0,0.0
2020-12-05,23.84737,6.91573,0.0,0.0
2020-12-06,21.38314,4.92845,0.0,0.63593
2020-12-07,19.71383,5.64387,0.0,0.39745
2020-12-08,20.34976,5.32591,0.0,0.0
2020-12-09,18.60095,4.37201,0.0,0.0
2020-12-10,19.47535,3.65659,0.0,0.39745
2020-12-11,19.23688,5.16693,0.0,0.63593
2020-12-12,25.35771,4.61049,0.0,0.63593
2020-12-13,24.00635,4.92845,0.0,0.39745
2020-12-14,20.27027,5.00794,0.0,1.27186
2020-12-15,22.41653,3.97456,0.0,0.0
2020-12-16,22.73449,5.08744,0.0,0.0
2020-12-17,22.73449,4.45151,0.0,0.63593
2020-12-18,19.9523,4.05405,0.0,0.0
2020-12-19,18.04451,3.81558,0.0,0.47694
2020-12-20,20.8267,2.94117,0.0,0.0
2020-12-21,16.93163,3.73608,0.0,0.0
2020-12-22,19.15739,7.55166,0.0,0.0
2020-12-23,25.67567,7.31319,0.0,0.47694
2020-12-24,25.4372,5.32591,0.0,0.0
2020-12-25,22.81399,4.29252,0.0,0.71542
2020-12-26,20.50874,5.4054,0.0,1.11287
2020-12-27,27.42448,6.51828,0.0,0.47694
2020-12-28,20.66772,3.17965,0.0,0.0
2020-12-29,19.0779,5.16693,0.0,0.0
2020-12-30,18.04451,4.76947,0.0,0.55643
2020-12-31,16.53418,5.16693,0.0,0.55643
2021-01-01,19.15739,5.4054,0.0,0.0
2021-01-02,22.01907,7.2337,0.0,0.47694
2021-01-03,22.97297,7.94912,0.0,0.95389
2021-01-04,24.32432,6.12082,0.0,0.79491
