날짜,뉴발란스 993 그레이,뉴발란스 993 네이비,뉴발란스 993 블랙
2020-11-01,31.99268,7.49542,14.99085
2020-11-02,23.76599,7.12979,13.34552
2020-11-03,30.53016,8.04387,24.49725
2020-11-04,34.18647,7.67824,20.47531
2020-11-05,36.9287,6.76416,18.46435
2020-11-06,39.12248,6.76416,19.92687
2020-11-07,33.45521,4.57038,18.28153
2020-11-08,37.47714,10.7861,37.11151
2020-11-09,37.47714,10.96892,31.80987
2020-11-10,41.13345,13.1627,34.73491
2020-11-11,39.3053,16.81901,25.0457
2020-11-12,38.57404,14.44241,19.19561
2020-11-13,31.99268,15.72212,19.74405
2020-11-14,38.93967,13.52833,17.00182
2020-11-15,40.76782,13.52833,19.56124
2020-11-16,40.21937,13.89396,21.20658
2020-11-17,42.23034,10.96892,15.35648
2020-11-18,36.56307,7.86106,13.89396
2020-11-19,36.9287,7.49542,17.18464
2020-11-20,33.63802,12.06581,33.63802
2020-11-21,35.8318,8.95795,23.21755
2020-11-22,41.31627,10.96892,20.65813
2020-11-23,38.02559,7.49542,21.20658
2020-11-24,41.13345,10.96892,17.55027
2020-11-25,44.78976,8.22669,22.12065
2020-11-26,38.75685,10.05484,23.03473
2020-11-27,38.75685,4.20475,21.93784
2020-11-28,40.21937,5.30164,21.38939
2020-11-29,45.70383,10.96892,22.48628
2020-11-30,43.14442,8.95795,19.56124
2020-12-01,52.28519,14.44241,22.85191
2020-12-02,56.85557,22.30347,35.10054
2020-12-03,39.12248,8.59232,25.77696
2020-12-04,46.98354,5.66727,21.20658
2020-12-05,48.62888,8.59232,20.47531
2020-12-06,49.54296,11.70018,21.75502
2020-12-07,41.13345,8.22669,20.47531
2020-12-08,43.51005,8.95795,22.6691
2020-12-09,43.87568,10.42047,21.75502
2020-12-10,46.4351,9.87202,21.57221
2020-12-11,42.9616,10.23765,18.09872
2020-12-12,67.09323,7.86106,22.30347
2020-12-13,71.11517,10.96892,29.25045
2020-12-14,55.75868,8.77513,28.33638
2020-12-15,55.75868,11.15173,29.7989
2020-12-16,46.80073,10.42047,19.92687
2020-12-17,50.82266,12.79707,25.41133
2020-12-18,46.06946,9.50639,21.38939
2020-12-19,44.24131,8.59232,23.94881
2020-12-20,53.38208,7.31261,25.41133
2020-12-21,43.32723,10.96892,24.86288
2020-12-22,41.86471,14.62522,25.59414
2020-12-23,37.11151,15.17367,26.32541
2020-12-24,40.21937,11.51736,22.30347
2020-12-25,40.585,10.42047,20.10968
2020-12-26,48.44606,10.60329,25.41133
2020-12-27,59.04936,14.25959,31.80987
2020-12-28,60.32906,11.15173,23.58318
2020-12-29,48.99451,11.51736,21.02376
2020-12-30,42.41316,12.24862,22.85191
2020-12-31,38.02559,10.23765,19.01279
2021-01-01,49.54296,7.49542,23.58318
2021-01-02,55.57586,11.15173,26.14259
2021-01-03,64.351,11.88299,26.69104
2021-01-04,63.25411,7.31261,21.75502
2021-01-05,52.83363,8.95795,19.56124
2021-01-06,48.26325,10.05484,25.22851
2021-01-07,45.15539,9.14076,27.4223
2021-01-08,48.62888,6.76416,21.93784
2021-01-09,57.40402,9.68921,24.31444
2021-01-10,61.24314,12.24862,23.21755
2021-01-11,55.75868,8.59232,23.21755
2021-01-12,52.10237,10.7861,22.12065
2021-01-13,53.19926,12.79707,25.0457
2021-01-14,55.39305,9.68921,19.92687
2021-01-15,51.91956,10.42047,18.28153
2021-01-16,57.2212,14.07678,19.56124
2021-01-17,57.2212,11.51736,20.10968
2021-01-18,50.0914,8.77513,19.01279
2021-01-19,41.31627,9.50639,17.73308
2021-01-20,69.65265,7.12979,18.28153
2021-01-21,68.92138,9.50639,19.37842
2021-01-22,49.17733,8.4095,19.56124
2021-01-23,52.65082,12.97989,21.02376
2021-01-24,57.76965,11.70018,22.30347
2021-01-25,50.45703,9.50639,22.85191
2021-01-26,47.16636,8.59232,21.93784
2021-01-27,43.32723,8.95795,21.57221
2021-01-28,43.32723,7.31261,22.48628
2021-01-29,38.39122,4.02193,20.65813
2021-01-30,49.72577,10.05484,20.47531
2021-01-31,47.34917,6.0329,21.57221
2021-02-01,46.61791,6.39853,21.02376
2021-02-02,42.9616,9.87202,22.6691
2021-02-03,42.9616,9.50639,20.10968
2021-02-04,45.52102,9.14076,21.02376
2021-02-05,48.99451,7.31261,14.99085
2021-02-06,60.51188,7.49542,20.10968
2021-02-07,63.07129,10.60329,23.58318
2021-02-08,58.68372,6.58135,21.93784
2021-02-09,48.99451,8.4095,16.27056
2021-02-10,46.80073,7.67824,19.37842
2021-02-11,61.24314,8.95795,15.5393
