,location,name,num_faved,pid,price,status,uid,update_time,used,datetime,date,size,product_name,brand,product_type,color,release_price,location1,location2,location3
0,NULL,조던1로우 스타피쉬 W 245,4,169268036,250000,0,195093,1636597642,2,2021-11-11 11:27:22,2021-11-11,245,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,NUL,NUL,NULL
1,경기도 부천시 상3동,나이키 조던1 로우 og 스타피쉬 270,7,169218105,310000,0,7174301,1636593777,1,2021-11-11 10:22:57,2021-11-11,270,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,부천시,상3동
2,경기도 광명시 하안1동,[290] 조던 1 로우 og 스타피쉬,0,169556130,355000,0,11267315,1636593748,2,2021-11-11 10:22:28,2021-11-11,290,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,광명시,하안1동
3,경기도 파주시 운정1동,[255] 나이키 에어조던1 로우 OG 스타피쉬,2,165908405,370000,0,12833240,1636592392,2,2021-11-11 09:59:52,2021-11-11,255,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,파주시,운정1동
4,경기도 고양시 덕양구 주교동,[270]조던 1 로우 스타피쉬,0,169568464,340000,0,392134,1636585372,2,2021-11-11 08:02:52,2021-11-11,270,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,고양시,덕양구 주교동
5,충청남도 천안시 동남구 신안동,조던 1 로우 스타피쉬275,6,167077478,350000,0,772963,1636584145,2,2021-11-11 07:42:25,2021-11-11,275,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,충청남도,천안시,동남구 신안동
6,서울특별시 영등포구 영등포본동,295] 조던1 로우 og 스타피쉬,1,169417945,360000,0,4065255,1636580085,2,2021-11-11 06:34:45,2021-11-11,295,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,영등포구,영등포본동
7,인천광역시 부평구 부개2동,[260] 조던 1 로우 OG 스타피쉬,1,166811863,380000,0,12453497,1636554330,1,2021-11-10 23:25:30,2021-11-10,260,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,인천광역시,부평구,부개2동
8,서울특별시 강동구 상일동,[W240] 조던1 로우 스타피쉬,0,169548224,269000,0,5124310,1636552242,2,2021-11-10 22:50:42,2021-11-10,240,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,강동구,상일동
9,서울특별시 동대문구 회기동,[260] 조던 1 로우 OG 스타피쉬,3,168607184,340000,0,11534974,1636546588,1,2021-11-10 21:16:28,2021-11-10,260,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,동대문구,회기동
10,경기도 시흥시 은행동,조던 1 로우 w 스타피쉬 og 230mm 새상품,1,168725220,280000,0,5248662,1636545627,2,2021-11-10 21:00:27,2021-11-10,230,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,시흥시,은행동
11,NULL,조던1 로우 스타피쉬 265,2,169530780,240000,0,5143945,1636542793,1,2021-11-10 20:13:13,2021-11-10,265,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,NUL,NUL,NULL
12,경기도 부천시 중1동,조던 1 로우 스타피쉬 275,20,168674012,285000,0,4263676,1636539310,1,2021-11-10 19:15:10,2021-11-10,275,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,부천시,중1동
13,NULL,[270] 조던1 로우 스타피쉬 나이키,3,167037090,390000,0,202582,1636536828,2,2021-11-10 18:33:48,2021-11-10,270,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,NUL,NUL,NULL
14,대구광역시 수성구 파동,나이키 조던 로우 1 스타피쉬 280팝니다,1,169515334,340000,0,9002860,1636533461,2,2021-11-10 17:37:41,2021-11-10,280,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,대구광역시,수성구,파동
15,경기도 성남시 분당구 서현1동,조던 1 로우 스타피쉬 250,13,167802318,350000,0,6046605,1636515948,2,2021-11-10 12:45:48,2021-11-10,250,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,성남시,분당구 서현1동
16,부산광역시 부산진구 부전제2동,조던1 로우 OG 스타피쉬 280,6,169405068,300000,0,3326099,1636515696,1,2021-11-10 12:41:36,2021-11-10,280,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,부산광역시,부산진구,부전제2동
17,서울특별시 동작구 상도제3동,[275] 나이키 조던1로우 og 스타피쉬,2,169486062,340000,0,74359126,1636514396,2,2021-11-10 12:19:56,2021-11-10,275,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,동작구,상도제3동
18,서울특별시 마포구 연남동,[280] 조던1 로우 스타피쉬,1,169150975,340000,0,3385117,1636509101,1,2021-11-10 10:51:41,2021-11-10,280,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,마포구,연남동
19,경기도 부천시 고강1동,[280]조던1로우 스타피쉬,12,164161819,400000,0,583402,1636505210,2,2021-11-10 09:46:50,2021-11-10,280,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,부천시,고강1동
20,경기도 성남시 중원구 도촌동,[330] 나이키 에어조던1 로우 스타피쉬,0,165238889,340000,0,8356312,1636500218,2,2021-11-10 08:23:38,2021-11-10,330,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,성남시,중원구 도촌동
21,인천광역시 서구 검단4동,조던1 로우 스타피쉬 275 새상품,3,167343402,359000,0,76555996,1636500102,1,2021-11-10 08:21:42,2021-11-10,275,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,인천광역시,서구,검단4동
22,경기도 성남시 수정구 고등동,[255] 조던1 로우 스타피쉬,4,168888151,319000,0,4954612,1636470257,1,2021-11-10 00:04:17,2021-11-10,255,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,성남시,수정구 고등동
23,대구광역시 달서구 송현동,나이키 에어조던1 로우 스타피쉬 팝니다. (사이즈 270),4,166682275,350000,0,10497420,1636446748,2,2021-11-09 17:32:28,2021-11-09,270,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,대구광역시,달서구,송현동
24,NULL,조던1 로우 스타피쉬 230나코탭,6,165155721,280000,0,2489703,1636157198,2,2021-11-06 09:06:38,2021-11-06,230,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,NUL,NUL,NULL
25,강원도 춘천시 강남동,조던1 로우 스타피쉬 280,1,168940544,345000,0,75284248,1636011820,2,2021-11-04 16:43:40,2021-11-04,280,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,강원도,춘천시,강남동
26,서울특별시 종로구 부암동,[245] 나이키 조던1 로우 OG  스타피쉬,5,164558869,300000,0,5401548,1635978590,2,2021-11-04 07:29:50,2021-11-04,245,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,종로구,부암동
27,NULL,조던 1 로우 스타피쉬 w 275 ,0,168458770,340000,0,12262361,1635573412,2,2021-10-30 14:56:52,2021-10-30,275,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,NUL,NUL,NULL
28,경기도 군포시 군포2동,조던1 로우 스타피쉬 265 사이즈 판매합니다,7,163586446,350000,0,9896279,1635288146,1,2021-10-27 07:42:26,2021-10-27,265,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,군포시,군포2동
29,서울특별시 영등포구 영등포동,조던1 로우  스타피쉬 265 ,2,165024768,370000,0,9145632,1634853395,1,2021-10-22 06:56:35,2021-10-22,265,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,영등포구,영등포동
30,경기도 용인시 처인구 역삼동,나이키 조던1 스타피쉬 로우 270사이즈 팝니다,10,167436124,330000,0,7932398,1634810153,1,2021-10-21 18:55:53,2021-10-21,270,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,용인시,처인구 역삼동
31,NULL,조던1 로우 스타피쉬 255,3,166350693,399000,0,84918,1634618877,2,2021-10-19 13:47:57,2021-10-19,255,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,NUL,NUL,NULL
32,경기도 포천시 포천동,나이키 조던1 로우 OG 스타피쉬 W235 판매합니다,6,164223317,300000,0,12252936,1634603852,2,2021-10-19 09:37:32,2021-10-19,235,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,포천시,포천동
33,NULL,[W265] 나이키 조던1 로우 스타피쉬,4,166306028,300000,1,6440870,1633538536,2,2021-10-07 01:42:16,2021-10-07,265,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,NUL,NUL,NULL
34,경기도 광주시 오포읍,나이키 조던1 로우 스타피쉬 285,64,166230062,250000,0,3534232,1633488472,1,2021-10-06 11:47:52,2021-10-06,285,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,광주시,오포읍
35,서울특별시 구로구 오류제1동,(새상품260)조던1 로우 OG 스타피쉬,12,163585659,340000,0,1258930,1632906444,2,2021-09-29 18:07:24,2021-09-29,260,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,구로구,오류제1동
36,경기도 의정부시 호원1동,(GS)조던1 로우 스타피쉬 240,7,164917682,269000,1,1469812,1632415259,1,2021-09-24 01:40:59,2021-09-24,240,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,의정부시,호원1동
37,경기도 김포시 구래동,조던1 로우 스타피쉬(W) 240,4,164484854,340000,0,75696536,1631627929,2,2021-09-14 22:58:49,2021-09-14,240,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,김포시,구래동
38,경기도 김포시 김포본동,조던1 로우 스타피쉬 (GS 230 사이즈) ,4,164010745,280000,0,1135388,1631143461,2,2021-09-09 08:24:21,2021-09-09,230,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,김포시,김포본동
39,경기도 수원시 팔달구 인계동,조던1 로우 스타피쉬 255 새상품 판매,13,163862489,345000,0,1487116,1631054631,2,2021-09-08 07:43:51,2021-09-08,255,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,수원시,팔달구 인계동
40,NULL,스타피쉬 조던1 로우 og (w250)  ,9,163227928,245000,1,12944119,1630630767,2,2021-09-03 09:59:27,2021-09-03,250,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,NUL,NUL,NULL
41,서울특별시 강남구 세곡동,조던 1 로우 스타피쉬 OG 265 ,2,163405495,280000,1,3754199,1630558749,1,2021-09-02 13:59:09,2021-09-02,265,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,강남구,세곡동
42,경기도 용인시 처인구 중앙동,[255] 조던1로우 스타피쉬,2,169240752,230000,3,76749675,1636285223,1,2021-11-07 20:40:23,2021-11-07,255,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,용인시,처인구 중앙동
43,NULL,[270]조던1로우 스타피쉬,9,168776567,295000,3,4767122,1636250328,1,2021-11-07 10:58:48,2021-11-07,270,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,NUL,NUL,NULL
44,경기도 의정부시 호원1동,조던1 로우 스타피쉬230,2,169163215,250000,3,1469812,1636207451,1,2021-11-06 23:04:11,2021-11-06,230,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,의정부시,호원1동
45,경기도 의정부시 호원1동,조던1 로우 스타피쉬 230,3,168247841,271000,3,1469812,1636176435,1,2021-11-06 14:27:15,2021-11-06,230,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,의정부시,호원1동
46,서울특별시 강남구 논현2동,조던 1 로우 스타피쉬 250,0,169072651,300000,3,6627733,1636125075,1,2021-11-06 00:11:15,2021-11-06,250,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,강남구,논현2동
47,경기도 안양시 동안구 평촌동,나이키 조던1 로우 스타피쉬 285,0,168937427,369000,3,8970355,1636073312,1,2021-11-05 09:48:32,2021-11-05,285,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,안양시,동안구 평촌동
48,서울특별시 도봉구 창제2동,조던1스타피쉬 로우 265,3,168890164,310000,3,6208757,1635952858,2,2021-11-04 00:20:58,2021-11-04,265,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,서울특별시,도봉구,창제2동
49,경기도 부천시 상3동,조던 1 로우 og 스타피쉬 260,1,168731310,310000,3,7174301,1635831899,1,2021-11-02 14:44:59,2021-11-02,260,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,부천시,상3동
50,경기도 화성시 동탄4동,[정품]나이키 조던1로우 스타피쉬 270,2,168667716,315000,3,7403253,1635826483,2,2021-11-02 13:14:43,2021-11-02,270,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,화성시,동탄4동
51,경기도 부천시 상3동,조던1 로우 og 스타피쉬 265 ,8,168419438,310000,3,7174301,1635820138,1,2021-11-02 11:28:58,2021-11-02,265,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,경기도,부천시,상3동
52,인천광역시 연수구 연수2동,[255] 조던1 로우 og 스타피쉬,0,168698791,350000,3,395565,1635785958,2,2021-11-02 01:59:18,2021-11-02,255,조던 1 로우 스타피쉬,조던,조던 1 로우,스타피쉬,159000,인천광역시,연수구,연수2동
